Genome	map00010	map00030	map00040	map00230	map00240	map00250	map00470	map00520	map00541	map00550	map00620	map00670	map00710	map00720	map00770	map00900	map00970	map01100	map01110	map01120	map01200	map01230	map01232	map01240	map01250	rn00010	rn00030	rn00040	rn00230	rn00240	rn00250	rn00470	rn00520	rn00541	rn00550	rn00620	rn00670	rn00710	rn00720	rn00770	rn00900	rn00970	rn01100	rn01110	rn01120	rn01200	rn01230	rn01232	rn01240	rn01250
GCF_012932215.1	4	8	5	13	9	11	6	8	4	5	7	6	6	6	4	12	4	184	87	54	26	39	7	41	9	4	8	5	13	9	11	6	8	4	5	7	6	6	6	4	12	4	184	87	54	26	39	7	41	9
GCF_012955605.1	2	5	3	12	6	6	6	11	2	5	4	3	4	5	3	8	5	131	72	28	15	30	5	39	9	2	5	3	12	6	6	6	11	2	5	4	3	4	5	3	8	5	131	72	28	15	30	5	39	9
GCF_012971725.1	4	8	2	17	8	13	9	8	9	6	8	9	5	5	5	8	4	236	103	74	32	49	9	59	13	4	8	2	17	8	13	9	8	9	6	8	9	5	5	5	8	4	236	103	74	32	49	9	59	13
GCF_012979535.1	5	4	2	13	8	6	6	10	6	5	8	7	8	7	3	7	4	142	70	38	21	36	8	38	12	5	4	2	13	8	6	6	10	6	5	8	7	8	7	3	7	4	142	70	38	21	36	8	38	12
GCF_013003965.1	4	3	3	14	6	7	5	10	12	5	8	6	6	6	4	8	5	179	83	50	30	42	6	43	18	4	3	3	14	6	7	5	10	12	5	8	6	6	6	4	8	5	179	83	50	30	42	6	43	18
GCF_013003985.1	4	4	3	15	7	7	5	9	13	5	9	6	6	6	5	8	5	181	82	51	26	39	7	45	18	4	4	3	15	7	7	5	9	13	5	9	6	6	6	5	8	5	181	82	51	26	39	7	45	18
GCF_013004065.1	4	3	2	12	7	6	6	8	9	5	9	7	6	8	3	7	4	154	74	46	27	39	7	35	14	4	3	2	12	7	6	6	8	9	5	9	7	6	8	3	7	4	154	74	46	27	39	7	35	14
GCF_013004105.1	5	5	1	11	6	7	6	9	6	5	4	4	8	3	3	6	5	134	71	28	14	34	4	35	12	5	5	1	11	6	7	6	9	6	5	4	4	8	3	3	6	5	134	71	28	14	34	4	35	12
GCF_013009555.1	6	5	9	10	6	8	6	10	15	5	8	11	7	6	3	6	5	163	74	38	18	39	7	31	20	6	5	9	10	6	8	6	10	15	5	8	11	7	6	3	6	5	163	74	38	18	39	7	31	20
GCF_013046785.1	6	5	4	16	8	9	6	12	3	6	13	12	10	13	4	11	4	217	88	68	28	40	10	54	12	6	5	4	16	8	9	6	12	3	6	13	12	10	13	4	11	4	217	88	68	28	40	10	54	12
GCF_013046825.1	3	5	5	10	6	6	6	14	5	5	0	3	5	1	3	8	5	99	54	20	9	22	4	29	12	3	5	5	10	6	6	6	14	5	5	0	3	5	1	3	8	5	99	54	20	9	22	4	29	12
GCF_013085545.1	6	7	3	10	7	11	7	6	8	7	10	7	8	5	3	6	5	150	72	47	21	39	6	34	12	6	7	3	10	7	11	7	6	8	7	10	7	8	5	3	6	5	150	72	47	21	39	6	34	12
GCF_013128195.2	4	7	2	14	7	7	2	8	8	2	5	8	7	5	2	8	4	140	71	42	23	36	8	30	14	4	7	2	14	7	7	2	8	8	2	5	8	7	5	2	8	4	140	71	42	23	36	8	30	14
GCF_013155125.1	4	6	4	18	5	10	7	11	6	6	10	12	7	13	3	7	4	217	91	64	30	44	8	58	13	4	6	4	18	5	10	7	11	6	6	10	12	7	13	3	7	4	217	91	64	30	44	8	58	13
GCF_013170725.1	6	10	6	17	8	14	8	13	14	9	8	10	9	9	5	7	4	239	98	75	34	46	8	54	23	6	10	6	17	8	14	8	13	14	9	8	10	9	9	5	7	4	239	98	75	34	46	8	54	23
GCF_013177295.1	4	3	1	14	6	7	6	7	2	6	3	7	4	4	3	7	4	121	68	28	15	38	7	28	7	4	3	1	14	6	7	6	7	2	6	3	7	4	4	3	7	4	121	68	28	15	38	7	28	7
GCF_013177435.1	4	4	2	12	5	6	4	8	8	5	6	6	5	5	3	7	5	126	64	28	14	30	6	36	13	4	4	2	12	5	6	4	8	8	5	6	6	5	5	3	7	5	126	64	28	14	30	6	36	13
GCF_013177455.1	4	6	2	14	7	8	8	9	6	6	7	6	5	7	3	7	4	149	78	42	19	40	8	37	12	4	6	2	14	7	8	8	9	6	6	7	6	5	7	3	7	4	149	78	42	19	40	8	37	12
GCF_013177635.1	3	3	2	13	7	7	5	8	12	5	3	7	4	3	3	7	4	135	78	29	13	39	6	36	16	3	3	2	13	7	7	5	8	12	5	3	7	4	3	3	7	4	135	78	29	13	39	6	36	16
GCF_013177675.1	3	7	3	11	6	6	6	8	9	5	3	9	4	3	3	7	4	141	79	36	20	39	4	38	14	3	7	3	11	6	6	6	8	9	5	3	9	4	3	3	7	4	141	79	36	20	39	4	38	14
GCF_013184985.2	5	4	4	12	5	7	7	10	4	6	3	6	5	4	3	6	4	130	69	32	17	40	5	27	10	5	4	4	12	5	7	7	10	4	6	3	6	5	4	3	6	4	130	69	32	17	40	5	27	10
GCF_013200955.2	4	5	3	15	8	13	7	8	9	5	9	7	5	5	5	7	4	202	93	56	25	45	9	56	13	4	5	3	15	8	13	7	8	9	5	9	7	5	5	5	7	4	202	93	56	25	45	9	56	13
GCF_013201605.1	3	3	2	11	5	7	5	7	4	5	2	4	4	2	3	7	4	102	58	22	10	27	4	34	9	3	3	2	11	5	7	5	7	4	5	2	4	4	2	3	7	4	102	58	22	10	27	4	34	9
GCF_013201625.1	3	3	2	11	5	6	4	7	10	5	4	7	4	3	3	7	4	123	75	27	14	37	4	34	14	3	3	2	11	5	6	4	7	10	5	4	7	4	3	3	7	4	123	75	27	14	37	4	34	14
GCF_013201645.1	3	3	2	10	6	6	4	6	5	5	3	4	4	2	3	7	4	106	62	20	10	32	4	33	9	3	3	2	10	6	6	4	6	5	5	3	4	4	2	3	7	4	106	62	20	10	32	4	33	9
GCF_013201685.1	3	3	2	11	6	7	5	7	7	5	3	7	4	3	3	7	4	118	68	27	13	33	5	34	11	3	3	2	11	6	7	5	7	7	5	3	7	4	3	3	7	4	118	68	27	13	33	5	34	11
GCF_013201705.1	1	3	2	11	5	6	4	8	10	5	4	6	3	3	3	7	4	125	75	29	13	36	4	35	14	1	3	2	11	5	6	4	8	10	5	4	6	3	3	3	7	4	125	75	29	13	36	4	35	14
GCF_013201825.1	3	5	2	12	6	6	5	8	6	5	4	8	4	3	3	8	4	144	76	40	19	40	7	36	11	3	5	2	12	6	6	5	8	6	5	4	8	4	3	3	8	4	144	76	40	19	40	7	36	11
GCF_013201895.1	3	3	2	10	6	6	5	6	4	5	3	6	4	3	3	7	4	110	64	24	12	32	4	35	8	3	3	2	10	6	6	5	6	4	5	3	6	4	3	3	7	4	110	64	24	12	32	4	35	8
GCF_013201935.1	3	3	2	12	7	6	5	8	13	6	3	7	4	3	3	7	4	141	82	35	14	40	5	35	17	3	3	2	12	7	6	5	8	13	6	3	7	4	3	3	7	4	141	82	35	14	40	5	35	17
GCF_013260645.1	4	4	2	13	7	8	5	7	8	5	9	7	7	7	2	7	4	144	70	39	20	35	8	38	12	4	4	2	13	7	8	5	7	8	5	9	7	7	7	2	7	4	144	70	39	20	35	8	38	12
GCF_013265555.1	3	4	1	9	6	7	7	6	6	5	7	6	5	4	3	7	5	111	55	23	11	28	7	19	11	3	4	1	9	6	7	7	6	6	5	7	6	5	4	3	7	5	111	55	23	11	28	7	19	11
GCF_013265585.1	5	5	1	14	7	5	6	8	4	7	8	4	9	5	3	8	5	152	83	39	19	37	6	41	10	5	5	1	14	7	5	6	8	4	7	8	4	9	5	3	8	5	152	83	39	19	37	6	41	10
GCF_013282625.1	4	4	2	16	7	8	6	7	3	5	8	9	6	7	3	3	4	141	72	34	20	38	10	43	8	4	4	2	16	7	8	6	7	3	5	8	9	6	7	3	3	4	141	72	34	20	38	10	43	8
GCF_013282725.1	6	10	7	13	7	6	7	14	12	6	11	7	8	7	4	7	5	228	99	59	31	42	8	56	20	6	10	7	13	7	6	7	14	12	6	11	7	8	7	4	7	5	228	99	59	31	42	8	56	20
GCF_013283835.1	3	3	2	11	7	6	6	7	6	5	3	7	4	3	3	7	4	142	75	38	18	38	5	36	10	3	3	2	11	7	6	6	7	6	5	3	7	4	3	3	7	4	142	75	38	18	38	5	36	10
GCF_013283875.1	5	7	7	13	6	7	6	10	9	5	8	4	8	3	3	6	5	143	71	35	14	32	8	34	16	5	7	7	13	6	7	6	10	9	5	8	4	8	3	3	6	5	143	71	35	14	32	8	34	16
GCF_013285385.1	7	10	8	16	7	7	6	10	6	6	11	8	10	6	4	8	5	221	101	61	32	46	10	54	13	7	10	8	16	7	7	6	10	6	6	11	8	10	6	4	8	5	221	101	61	32	46	10	54	13
GCF_013307225.1	4	3	2	13	6	6	6	8	12	5	6	7	4	6	4	7	4	144	75	35	20	38	6	37	16	4	3	2	13	6	6	6	8	12	5	6	7	4	6	4	7	4	144	75	35	20	38	6	37	16
GCF_013307245.1	4	3	2	13	6	6	6	8	10	5	7	7	5	7	4	8	4	142	77	36	20	37	6	37	14	4	3	2	13	6	6	6	8	10	5	7	7	5	7	4	8	4	142	77	36	20	37	6	37	14
GCF_013307435.2	5	5	8	13	7	7	7	12	8	6	10	7	10	7	3	8	5	195	87	61	26	39	6	45	16	5	5	8	13	7	7	7	12	8	6	10	7	10	7	3	8	5	195	87	61	26	39	6	45	16
GCF_013315815.1	4	4	2	10	7	8	6	9	1	6	5	5	7	3	3	7	5	102	55	22	12	37	7	20	8	4	4	2	10	7	8	6	9	1	6	5	5	7	3	3	7	5	102	55	22	12	37	7	20	8
GCF_013340845.1	3	4	2	16	6	7	6	8	7	5	7	7	6	5	3	3	4	143	72	39	15	37	9	43	12	3	4	2	16	6	7	6	8	7	5	7	7	6	5	3	3	4	143	72	39	15	37	9	43	12
GCF_013343195.2	4	4	1	9	7	5	5	5	7	6	3	3	6	3	3	4	5	110	56	23	12	25	6	38	11	4	4	1	9	7	5	5	5	7	6	3	3	6	3	3	4	5	110	56	23	12	25	6	38	11
GCF_013347325.1	4	8	3	16	8	5	6	10	10	6	8	7	5	8	4	13	4	205	92	63	35	40	10	46	16	4	8	3	16	8	5	6	10	10	6	8	7	5	8	4	13	4	205	92	63	35	40	10	46	16
GCF_013364315.1	3	5	3	17	8	9	7	12	6	5	9	9	4	7	3	12	4	203	98	55	19	46	10	49	14	3	5	3	17	8	9	7	12	6	5	9	9	4	7	3	12	4	203	98	55	19	46	10	49	14
GCF_013372105.1	3	3	2	13	5	7	5	7	4	5	2	4	4	2	3	7	4	103	59	22	10	28	6	33	9	3	3	2	13	5	7	5	7	4	5	2	4	4	2	3	7	4	103	59	22	10	28	6	33	9
GCF_013372205.1	3	3	2	10	6	6	5	6	5	5	3	5	4	2	3	7	4	109	63	25	13	33	4	29	9	3	3	2	10	6	6	5	6	5	5	3	5	4	2	3	7	4	109	63	25	13	33	4	29	9
GCF_013372225.1	1	3	2	14	5	7	5	6	3	5	2	4	3	1	3	8	4	98	58	20	8	29	7	31	7	1	3	2	14	5	7	5	6	3	5	2	4	3	1	3	8	4	98	58	20	8	29	7	31	7
GCF_013374215.1	1	3	2	7	6	6	6	6	5	4	3	2	3	3	3	6	4	94	51	23	13	25	4	27	9	1	3	2	7	6	6	6	6	5	4	3	2	3	3	3	6	4	94	51	23	13	25	4	27	9
GCF_013374995.1	5	7	3	18	8	11	10	7	7	8	14	10	7	6	4	7	4	245	105	78	33	52	9	59	11	5	7	3	18	8	11	10	7	7	8	14	10	7	6	4	7	4	245	105	78	33	52	9	59	11
GCF_013376455.1	6	3	2	8	8	8	6	7	10	5	4	6	4	5	3	7	5	130	66	37	15	35	6	33	14	6	3	2	8	8	8	6	7	10	5	4	6	4	5	3	7	5	130	66	37	15	35	6	33	14
GCF_013376475.1	6	3	2	8	7	9	6	6	8	5	4	6	4	5	3	7	5	126	66	37	16	35	5	31	12	6	3	2	8	7	9	6	6	8	5	4	6	4	5	3	7	5	126	66	37	16	35	5	31	12
GCF_013377995.1	3	6	5	14	6	5	6	8	6	4	5	5	6	4	3	7	5	145	81	38	19	41	7	38	10	3	6	5	14	6	5	6	8	6	4	5	5	6	4	3	7	5	145	81	38	19	41	7	38	10
GCF_013378075.1	6	4	3	13	8	6	8	9	8	7	9	6	8	8	3	7	4	158	79	43	24	34	8	44	14	6	4	3	13	8	6	8	9	8	7	9	6	8	8	3	7	4	158	79	43	24	34	8	44	14
GCF_013388295.1	4	4	2	10	9	7	6	6	3	4	4	3	6	4	3	6	4	89	43	20	11	23	7	28	7	4	4	2	10	9	7	6	6	3	4	4	3	6	4	3	6	4	89	43	20	11	23	7	28	7
GCF_013389455.1	2	4	1	9	6	5	6	5	5	5	4	5	5	3	3	3	5	109	57	29	11	28	6	33	9	2	4	1	9	6	5	6	5	5	5	4	5	5	3	3	3	5	109	57	29	11	28	6	33	9
GCF_013393365.1	5	5	2	10	6	5	5	6	4	5	8	5	7	6	3	6	4	129	64	26	16	28	5	44	8	5	5	2	10	6	5	5	6	4	5	8	5	7	6	3	6	4	129	64	26	16	28	5	44	8
GCF_013394595.1	3	3	7	10	6	6	6	9	8	5	8	6	6	5	3	4	5	132	66	34	16	35	7	29	15	3	3	7	10	6	6	6	9	8	5	8	6	6	5	3	4	5	132	66	34	16	35	7	29	15
GCF_013394655.1	3	4	4	10	6	6	6	8	7	5	10	6	7	6	3	3	4	134	69	37	19	34	7	30	14	3	4	4	10	6	6	6	8	7	5	10	6	7	6	3	3	4	134	69	37	19	34	7	30	14
GCF_013403565.1	4	5	2	15	10	7	6	11	13	5	10	9	7	8	3	8	4	174	86	44	24	42	10	47	19	4	5	2	15	10	7	6	11	13	5	10	9	7	8	3	8	4	174	86	44	24	42	10	47	19
GCF_013409125.2	4	6	4	17	8	13	7	9	10	5	11	9	5	5	5	8	4	225	103	61	27	49	9	60	14	4	6	4	17	8	13	7	9	10	5	11	9	5	5	5	8	4	225	103	61	27	49	9	60	14
GCF_013414345.1	4	5	2	14	6	7	6	11	7	6	5	4	4	4	3	7	4	130	76	31	18	39	8	30	14	4	5	2	14	6	7	6	11	7	6	5	4	4	4	3	7	4	130	76	31	18	39	8	30	14
GCF_013416015.1	3	3	2	10	5	6	5	7	8	5	3	6	4	3	3	7	4	113	64	28	13	33	3	31	12	3	3	2	10	5	6	5	7	8	5	3	6	4	3	3	7	4	113	64	28	13	33	3	31	12
GCF_013423785.1	5	6	2	15	10	6	6	9	7	5	10	9	7	8	3	8	4	171	88	46	27	45	9	51	12	5	6	2	15	10	6	6	9	7	5	10	9	7	8	3	8	4	171	88	46	27	45	9	51	12
GCF_013423865.1	4	7	8	13	7	6	6	11	7	6	6	3	7	2	3	8	5	117	61	22	13	31	5	24	15	4	7	8	13	7	6	6	11	7	6	6	3	7	2	3	8	5	117	61	22	13	31	5	24	15
GCF_013466985.1	4	7	2	16	6	9	7	9	7	5	7	9	6	6	3	6	4	165	77	47	22	39	8	43	13	4	7	2	16	6	9	7	9	7	5	7	9	6	6	3	6	4	165	77	47	22	39	8	43	13
GCF_013744875.1	5	5	4	18	7	12	7	12	7	6	11	9	7	11	4	11	4	233	108	69	30	49	7	62	14	5	5	4	18	7	12	7	12	7	6	11	9	7	11	4	11	4	233	108	69	30	49	7	62	14
GCF_013745115.1	4	5	1	5	5	6	4	4	1	1	3	3	8	2	2	7	5	70	29	18	14	15	8	10	4	4	5	1	5	5	6	4	4	1	1	3	3	8	2	2	7	5	70	29	18	14	15	8	10	4
GCF_014023125.1	5	4	5	6	3	5	1	5	2	1	5	3	8	2	2	7	5	75	32	22	14	22	8	8	6	5	4	5	6	3	5	1	5	2	1	5	3	8	2	2	7	5	75	32	22	14	22	8	8	6
GCF_014041995.1	5	3	6	14	5	7	7	9	5	6	7	5	6	6	3	7	4	126	68	24	16	42	7	24	11	5	3	6	14	5	7	7	9	5	6	7	5	6	6	3	7	4	126	68	24	16	42	7	24	11
GCF_014042035.1	4	6	11	13	5	6	7	13	3	6	8	5	8	3	4	8	6	197	93	50	22	43	4	52	10	4	6	11	13	5	6	7	13	3	6	8	5	8	3	4	8	6	197	93	50	22	43	4	52	10
GCF_014055005.1	3	5	3	14	9	6	6	8	8	5	10	6	7	7	3	8	4	161	86	47	31	41	9	45	13	3	5	3	14	9	6	6	8	8	5	10	6	7	7	3	8	4	161	86	47	31	41	9	45	13
GCF_014058425.1	4	7	2	13	6	6	6	9	2	6	3	7	5	4	3	7	5	106	54	23	15	26	5	25	8	4	7	2	13	6	6	6	9	2	6	3	7	5	4	3	7	5	106	54	23	15	26	5	25	8
GCF_014058705.1	5	9	6	15	7	7	6	9	9	5	7	8	6	7	3	8	4	166	81	42	25	40	8	38	14	5	9	6	15	7	7	6	9	9	5	7	8	6	7	3	8	4	166	81	42	25	40	8	38	14
GCF_014069315.1	2	7	10	5	6	5	7	8	3	5	4	3	3	2	4	7	6	93	38	17	10	17	5	27	9	2	7	10	5	6	5	7	8	3	5	4	3	3	2	4	7	6	93	38	17	10	17	5	27	9
GCF_014069875.1	5	4	4	14	6	7	7	9	6	6	4	4	6	4	3	12	4	130	74	23	16	36	8	24	11	5	4	4	14	6	7	7	9	6	6	4	4	6	4	3	12	4	130	74	23	16	36	8	24	11
GCF_014070455.1	4	5	3	14	8	11	6	10	6	6	11	8	6	9	3	8	4	198	96	61	23	46	8	52	13	4	5	3	14	8	11	6	10	6	6	11	8	6	9	3	8	4	198	96	61	23	46	8	52	13
GCF_014075995.1	1	6	10	10	7	5	5	10	10	4	5	6	5	4	2	7	5	149	69	35	12	31	6	41	17	1	6	10	10	7	5	5	10	10	4	5	6	5	4	2	7	5	149	69	35	12	31	6	41	17
GCF_014076555.1	4	7	6	11	6	6	5	12	10	5	5	5	7	5	3	7	4	147	71	33	17	35	6	32	17	4	7	6	11	6	6	5	12	10	5	5	5	7	5	3	7	4	147	71	33	17	35	6	32	17
GCF_014107495.1	1	8	11	15	7	8	7	16	13	8	5	5	5	3	3	8	4	177	90	43	12	42	8	44	23	1	8	11	15	7	8	7	16	13	8	5	5	5	3	3	8	4	177	90	43	12	42	8	44	23
GCF_014109845.1	4	4	2	12	6	7	6	8	8	5	12	9	10	11	4	7	5	173	80	45	26	36	7	43	13	4	4	2	12	6	7	6	8	8	5	12	9	10	11	4	7	5	173	80	45	26	36	7	43	13
GCF_014117325.1	4	5	11	13	8	7	6	11	10	6	6	9	4	6	3	5	5	169	78	42	16	40	8	47	16	4	5	11	13	8	7	6	11	10	6	6	9	4	6	3	5	5	169	78	42	16	40	8	47	16
GCF_014126615.1	6	10	8	17	8	11	6	11	8	5	12	11	9	10	3	7	4	209	91	72	35	43	8	48	15	6	10	8	17	8	11	6	11	8	5	12	11	9	10	3	7	4	209	91	72	35	43	8	48	15
GCF_014126825.1	3	6	3	14	7	7	6	8	5	4	12	8	6	9	3	7	4	185	93	52	29	45	9	49	10	3	6	3	14	7	7	6	8	5	4	12	8	6	9	3	7	4	185	93	52	29	45	9	49	10
GCF_014131755.1	5	7	10	10	7	8	6	9	13	5	8	9	7	5	3	6	5	150	72	34	16	38	7	28	18	5	7	10	10	7	8	6	9	13	5	8	9	7	5	3	6	5	150	72	34	16	38	7	28	18
GCF_014168535.1	3	5	7	12	6	7	6	9	6	5	7	3	7	3	3	6	5	135	66	34	11	31	8	30	14	3	5	7	12	6	7	6	9	6	5	7	3	7	3	3	6	5	135	66	34	11	31	8	30	14
GCF_014171495.1	5	8	10	16	6	8	7	12	18	5	12	8	6	9	8	9	4	271	121	85	42	51	7	63	23	5	8	10	16	6	8	7	12	18	5	12	8	6	9	8	9	4	271	121	85	42	51	7	63	23
GCF_014211955.1	7	4	4	14	7	6	5	10	10	4	10	10	9	10	3	7	4	164	77	49	27	35	7	45	14	7	4	4	14	7	6	5	10	10	4	10	10	9	10	3	7	4	164	77	49	27	35	7	45	14
GCF_014216335.1	4	7	6	16	7	9	6	14	5	5	10	8	7	8	4	9	4	190	82	51	20	39	9	44	14	4	7	6	16	7	9	6	14	5	5	10	8	7	8	4	9	4	190	82	51	20	39	9	44	14
GCF_014217805.1	1	6	10	10	8	5	5	9	7	4	5	6	5	4	2	7	5	143	68	34	12	31	6	38	14	1	6	10	10	8	5	5	9	7	4	5	6	5	4	2	7	5	143	68	34	12	31	6	38	14
GCF_014217835.1	2	10	11	14	6	7	6	17	12	7	6	6	9	6	4	8	6	204	106	58	24	50	5	54	21	2	10	11	14	6	7	6	17	12	7	6	6	9	6	4	8	6	204	106	58	24	50	5	54	21
GCF_014217995.1	1	3	2	12	5	6	5	6	4	5	2	4	3	2	3	7	4	97	59	20	8	28	5	29	8	1	3	2	12	5	6	5	6	4	5	2	4	3	2	3	7	4	97	59	20	8	28	5	29	8
GCF_014218275.1	4	3	2	9	7	8	7	7	7	6	12	3	8	5	3	8	5	137	71	31	16	38	6	38	12	4	3	2	9	7	8	7	7	7	6	12	3	8	5	3	8	5	137	71	31	16	38	6	38	12
GCF_014235185.1	4	6	4	18	6	8	7	11	5	6	8	10	6	9	3	8	4	205	86	59	28	40	9	53	12	4	6	4	18	6	8	7	11	5	6	8	10	6	9	3	8	4	205	86	59	28	40	9	53	12
GCF_014250515.1	5	4	5	11	6	5	6	10	11	6	8	6	7	5	2	7	5	139	69	33	17	31	9	35	17	5	4	5	11	6	5	6	10	11	6	8	6	7	5	2	7	5	139	69	33	17	31	9	35	17
GCF_014262665.1	3	5	3	14	7	7	6	10	5	5	4	8	4	4	3	7	4	136	77	35	17	40	7	37	12	3	5	3	14	7	7	6	10	5	5	4	8	4	4	3	7	4	136	77	35	17	40	7	37	12
GCF_014268275.3	4	9	4	18	8	12	8	7	8	6	11	12	6	8	5	8	4	245	105	81	36	54	9	60	12	4	9	4	18	8	12	8	7	8	6	11	12	6	8	5	8	4	245	105	81	36	54	9	60	12
GCF_014268375.2	4	8	3	19	10	12	7	8	9	6	11	11	6	7	5	7	4	240	107	75	35	54	12	62	13	4	8	3	19	10	12	7	8	9	6	11	11	6	7	5	7	4	240	107	75	35	54	12	62	13
GCF_014268445.2	4	7	4	18	7	13	6	9	11	6	11	8	5	7	5	7	4	242	105	81	35	51	8	58	15	4	7	4	18	7	13	6	9	11	6	11	8	5	7	5	7	4	242	105	81	35	51	8	58	15
GCF_014268455.2	4	8	3	19	7	12	8	8	8	6	10	8	6	7	5	7	4	241	107	78	35	53	9	59	12	4	8	3	19	7	12	8	8	8	6	10	8	6	7	5	7	4	241	107	78	35	53	9	59	12
GCF_014268485.2	4	7	4	18	7	13	7	9	11	6	11	8	5	7	5	7	4	241	108	80	35	52	8	60	15	4	7	4	18	7	13	7	9	11	6	11	8	5	7	5	7	4	241	108	80	35	52	8	60	15
GCF_014268495.2	4	7	4	18	7	13	6	9	10	6	10	8	5	6	5	7	4	240	106	78	34	51	8	59	14	4	7	4	18	7	13	6	9	10	6	10	8	5	6	5	7	4	240	106	78	34	51	8	59	14
GCF_014268585.2	4	7	4	18	7	12	6	9	11	6	11	8	5	7	5	7	4	236	105	76	35	50	8	59	15	4	7	4	18	7	12	6	9	11	6	11	8	5	7	5	7	4	236	105	76	35	50	8	59	15
GCF_014268595.2	3	7	4	18	7	12	6	9	11	6	8	8	5	5	5	7	4	218	96	66	26	46	8	58	15	3	7	4	18	7	12	6	9	11	6	8	8	5	5	5	7	4	218	96	66	26	46	8	58	15
GCF_014268695.2	4	6	3	17	7	11	7	8	9	5	10	11	5	7	5	7	4	245	102	83	33	51	8	62	13	4	6	3	17	7	11	7	8	9	5	10	11	5	7	5	7	4	245	102	83	33	51	8	62	13
GCF_014268755.2	4	8	3	17	7	13	9	8	9	6	13	9	5	8	6	9	4	252	111	84	37	56	8	63	13	4	8	3	17	7	13	9	8	9	6	13	9	5	8	6	9	4	252	111	84	37	56	8	63	13
GCF_014268885.2	4	7	3	18	7	13	7	8	11	5	11	8	5	7	5	7	4	240	109	80	36	53	9	61	15	4	7	3	18	7	13	7	8	11	5	11	8	5	7	5	7	4	240	109	80	36	53	9	61	15
GCF_014269225.2	4	8	2	18	7	13	10	8	9	5	11	8	5	6	5	7	4	235	108	77	36	56	8	60	13	4	8	2	18	7	13	10	8	9	5	11	8	5	6	5	7	4	235	108	77	36	56	8	60	13
GCF_014274465.1	4	7	6	12	6	6	6	13	11	5	7	5	8	3	3	8	5	159	78	39	20	30	4	37	21	4	7	6	12	6	6	6	13	11	5	7	5	8	3	3	8	5	159	78	39	20	30	4	37	21
GCF_014274685.1	2	6	8	12	6	7	6	12	11	5	5	4	5	1	3	8	5	132	63	27	9	27	5	30	19	2	6	8	12	6	7	6	12	11	5	5	4	5	1	3	8	5	132	63	27	9	27	5	30	19
GCF_014287515.2	3	2	7	9	5	9	7	10	5	6	3	3	5	2	3	7	5	116	63	23	8	33	4	27	11	3	2	7	9	5	9	7	10	5	6	3	3	5	2	3	7	5	116	63	23	8	33	4	27	11
GCF_014295035.1	3	5	3	16	7	10	6	9	3	6	7	9	4	7	4	13	4	182	85	48	17	41	9	47	10	3	5	3	16	7	10	6	9	3	6	7	9	4	7	4	13	4	182	85	48	17	41	9	47	10
GCF_014295415.1	2	3	1	9	5	5	6	5	5	5	4	6	5	3	3	3	5	104	50	23	9	21	5	33	9	2	3	1	9	5	5	6	5	5	5	4	6	5	3	3	3	5	104	50	23	9	21	5	33	9
GCF_014297575.1	4	5	3	13	9	6	6	7	7	5	10	8	6	6	5	9	5	189	81	51	26	33	10	50	11	4	5	3	13	9	6	6	7	7	5	10	8	6	6	5	9	5	189	81	51	26	33	10	50	11
GCF_014297595.2	3	6	2	14	7	6	6	8	8	5	8	6	6	6	3	8	4	146	84	41	26	41	8	38	13	3	6	2	14	7	6	6	8	8	5	8	6	6	6	3	8	4	146	84	41	26	41	8	38	13
GCF_014334095.1	5	5	2	13	7	6	6	7	6	5	10	7	9	8	3	7	4	148	73	40	24	35	7	44	10	5	5	2	13	7	6	6	7	6	5	10	7	9	8	3	7	4	148	73	40	24	35	7	44	10
GCF_014334735.1	3	6	1	15	7	8	6	7	4	4	6	8	6	6	3	7	4	143	77	36	18	39	9	38	8	3	6	1	15	7	8	6	7	4	4	6	8	6	6	3	7	4	143	77	36	18	39	9	38	8
GCF_014337155.1	3	3	2	10	7	10	8	8	6	5	4	5	6	3	3	8	4	115	66	24	10	34	6	30	11	3	3	2	10	7	10	8	8	6	5	4	5	6	3	3	8	4	115	66	24	10	34	6	30	11
GCF_014337175.1	3	3	6	9	6	10	6	11	6	6	2	5	5	3	2	7	5	105	54	21	9	32	4	16	13	3	3	6	9	6	10	6	11	6	6	2	5	5	3	2	7	5	105	54	21	9	32	4	16	13
GCF_014337195.1	3	5	5	10	6	10	7	8	8	6	5	2	6	1	3	7	5	120	64	25	8	37	4	25	13	3	5	5	10	6	10	7	8	8	6	5	2	6	1	3	7	5	120	64	25	8	37	4	25	13
GCF_014337215.1	4	6	11	11	6	10	6	10	7	8	6	2	8	1	3	7	5	147	68	34	12	38	5	28	14	4	6	11	11	6	10	6	10	7	8	6	2	8	1	3	7	5	147	68	34	12	38	5	28	14
GCF_014337255.1	4	4	4	11	8	7	7	12	7	5	4	3	7	2	3	7	5	116	51	24	12	20	8	35	14	4	4	4	11	8	7	7	12	7	5	4	3	7	2	3	7	5	116	51	24	12	20	8	35	14
GCF_014352855.1	4	5	2	12	7	6	5	9	8	5	5	6	6	5	4	7	4	120	57	33	20	18	7	37	13	4	5	2	12	7	6	5	9	8	5	5	6	6	5	4	7	4	120	57	33	20	18	7	37	13
GCF_014352875.1	5	4	1	9	7	6	6	8	6	6	9	8	8	6	3	3	5	132	73	34	17	37	6	37	12	5	4	1	9	7	6	6	8	6	6	9	8	8	6	3	3	5	132	73	34	17	37	6	37	12
