Genome	map00010	map00030	map00040	map00051	map00220	map00230	map00240	map00250	map00260	map00270	map00300	map00400	map00470	map00520	map00541	map00550	map00562	map00564	map00620	map00630	map00670	map00710	map00720	map00730	map00740	map00760	map00770	map00860	map00900	map00910	map00970	map01100	map01110	map01120	map01200	map01210	map01230	map01232	map01240	map01250	rn00010	rn00030	rn00040	rn00051	rn00220	rn00230	rn00240	rn00250	rn00260	rn00270	rn00300	rn00400	rn00470	rn00520	rn00541	rn00550	rn00562	rn00564	rn00620	rn00630	rn00670	rn00710	rn00720	rn00730	rn00740	rn00760	rn00770	rn00860	rn00900	rn00910	rn00970	rn01100	rn01110	rn01120	rn01200	rn01210	rn01230	rn01232	rn01240	rn01250
GCF_004337365.2	2	7	6	2	1	14	7	5	8	9	6	9	6	11	12	5	1	2	6	4	7	6	4	7	7	3	4	7	6	1	5	143	73	33	17	5	34	10	36	19	2	7	6	2	1	14	7	5	8	9	6	9	6	11	12	5	1	2	6	4	7	6	4	7	7	3	4	7	6	1	5	143	73	33	17	5	34	10	36	19
GCF_004347775.1	2	6	7	2	1	13	8	5	8	8	6	8	6	12	10	5	1	2	5	2	7	6	3	2	8	2	3	9	6	6	5	136	68	36	12	5	30	9	32	17	2	6	7	2	1	13	8	5	8	8	6	8	6	12	10	5	1	2	5	2	7	6	3	2	8	2	3	9	6	6	5	136	68	36	12	5	30	9	32	17
GCF_004353525.1	5	4	2	1	5	11	7	11	8	11	7	15	7	8	2	7	1	1	9	10	7	8	3	4	6	0	3	14	8	4	4	156	77	40	21	7	44	5	34	8	5	4	2	1	5	11	7	11	8	11	7	15	7	8	2	7	1	1	9	10	7	8	3	4	6	0	3	14	8	4	4	156	77	40	21	7	44	5	34	8
GCF_004353865.1	5	7	4	2	10	16	8	11	10	8	7	12	6	10	9	5	1	3	9	18	7	9	9	3	6	3	4	14	8	11	4	210	99	68	33	5	48	10	45	15	5	7	4	2	10	16	8	11	10	8	7	12	6	10	9	5	1	3	9	18	7	9	9	3	6	3	4	14	8	11	4	210	99	68	33	5	48	10	45	15
GCF_004355185.1	3	6	7	3	1	11	8	6	8	8	6	7	5	9	9	5	1	2	8	4	5	6	5	2	7	2	3	10	7	1	5	137	67	37	17	5	29	6	36	15	3	6	7	3	1	11	8	6	8	8	6	7	5	9	9	5	1	2	8	4	5	6	5	2	7	2	3	10	7	1	5	137	67	37	17	5	29	6	36	15
GCF_004355225.1	3	4	7	2	3	10	6	6	9	7	6	9	6	11	6	5	1	2	9	5	6	8	5	2	6	1	3	9	3	7	5	142	65	41	15	6	35	7	33	14	3	4	7	2	3	10	6	6	9	7	6	9	6	11	6	5	1	2	9	5	6	8	5	2	6	1	3	9	3	7	5	142	65	41	15	6	35	7	33	14
GCF_004358325.1	4	5	5	1	1	13	7	6	4	7	5	0	7	8	2	5	1	2	3	2	2	5	2	4	2	3	4	1	7	1	5	88	38	19	12	3	15	4	24	8	4	5	5	1	1	13	7	6	4	7	5	0	7	8	2	5	1	2	3	2	2	5	2	4	2	3	4	1	7	1	5	88	38	19	12	3	15	4	24	8
GCF_004359375.1	3	4	3	1	2	3	3	5	3	6	5	7	6	5	2	4	1	2	5	3	4	5	3	2	2	4	3	0	4	2	6	68	29	15	10	2	23	5	16	5	3	4	3	1	2	3	3	5	3	6	5	7	6	5	2	4	1	2	5	3	4	5	3	2	2	4	3	0	4	2	6	68	29	15	10	2	23	5	16	5
GCF_004367745.1	4	7	5	1	6	15	6	6	7	10	7	9	6	10	11	6	1	1	9	10	6	7	6	5	5	4	3	14	9	7	4	197	85	60	30	5	40	7	49	16	4	7	5	1	6	15	6	6	7	10	7	9	6	10	11	6	1	1	9	10	6	7	6	5	5	4	3	14	9	7	4	197	85	60	30	5	40	7	49	16
GCF_004421025.1	2	3	6	3	1	11	5	6	8	8	6	9	6	9	9	5	1	2	6	2	3	6	3	2	9	2	3	8	7	2	6	131	64	31	13	5	31	7	32	15	2	3	6	3	1	11	5	6	8	8	6	9	6	9	9	5	1	2	6	2	3	6	3	2	9	2	3	8	7	2	6	131	64	31	13	5	31	7	32	15
GCF_004421105.1	5	4	2	2	3	13	6	6	8	10	7	9	6	10	9	6	1	3	8	4	5	8	7	4	5	3	3	10	7	1	4	165	78	48	27	5	36	6	43	16	5	4	2	2	3	13	6	6	8	10	7	9	6	10	9	6	1	3	8	4	5	8	7	4	5	3	3	10	7	1	4	165	78	48	27	5	36	6	43	16
GCF_004519515.1	3	6	2	3	2	17	5	6	8	7	7	15	6	12	11	4	1	4	9	7	6	7	4	2	6	1	3	7	7	1	6	154	87	39	20	5	42	8	33	17	3	6	2	3	2	17	5	6	8	7	7	15	6	12	11	4	1	4	9	7	6	7	4	2	6	1	3	7	7	1	6	154	87	39	20	5	42	8	33	17
GCF_004526345.1	4	6	2	1	2	12	6	7	11	7	2	13	4	8	3	4	2	1	6	7	6	5	6	2	6	3	3	12	8	2	4	144	77	35	20	3	33	6	33	9	4	6	2	1	2	12	6	7	11	7	2	13	4	8	3	4	2	1	6	7	6	5	6	2	6	3	3	12	8	2	4	144	77	35	20	3	33	6	33	9
GCF_004564075.1	3	6	4	2	4	16	6	8	7	8	7	12	6	13	5	6	1	1	5	8	6	3	5	2	6	3	3	7	5	7	4	138	75	42	19	4	39	8	33	13	3	6	4	2	4	16	6	8	7	8	7	12	6	13	5	6	1	1	5	8	6	3	5	2	6	3	3	7	5	7	4	138	75	42	19	4	39	8	33	13
GCF_004564355.1	4	5	7	6	3	15	7	7	8	9	7	14	7	12	8	6	2	1	4	4	6	4	5	2	7	3	3	6	7	2	4	157	75	39	20	4	42	8	35	16	4	5	7	6	3	15	7	7	8	9	7	14	7	12	8	6	2	1	4	4	6	4	5	2	7	3	3	6	7	2	4	157	75	39	20	4	42	8	35	16
GCF_004564375.1	4	6	2	4	4	16	6	9	10	7	6	14	6	10	7	4	2	1	8	9	8	7	7	2	8	4	3	11	7	3	4	157	81	42	22	4	40	8	36	14	4	6	2	4	4	16	6	9	10	7	6	14	6	10	7	4	2	1	8	9	8	7	7	2	8	4	3	11	7	3	4	157	81	42	22	4	40	8	36	14
GCF_004571195.1	4	3	2	1	1	7	7	5	6	3	5	11	5	6	3	4	2	3	5	3	3	5	4	4	5	2	3	7	2	1	5	109	44	29	16	2	23	8	40	7	4	3	2	1	1	7	7	5	6	3	5	11	5	6	3	4	2	3	5	3	3	5	4	4	5	2	3	7	2	1	5	109	44	29	16	2	23	8	40	7
GCF_004683865.2	3	12	5	3	6	13	9	11	10	6	6	10	5	10	8	5	3	1	8	14	7	8	5	3	8	2	3	15	8	14	4	197	82	69	35	4	41	7	42	15	3	12	5	3	6	13	9	11	10	6	6	10	5	10	8	5	3	1	8	14	7	8	5	3	8	2	3	15	8	14	4	197	82	69	35	4	41	7	42	15
GCF_004683965.1	4	5	1	4	3	16	6	7	8	5	6	14	7	7	6	6	2	1	8	10	8	7	8	5	8	2	3	17	6	6	4	163	75	48	23	4	37	8	42	10	4	5	1	4	3	16	6	7	8	5	6	14	7	7	6	6	2	1	8	10	8	7	8	5	8	2	3	17	6	6	4	163	75	48	23	4	37	8	42	10
GCF_004684245.1	5	5	1	1	2	13	6	6	8	8	5	12	4	10	5	5	1	0	11	8	7	8	8	4	5	2	3	15	8	1	5	146	82	43	22	5	34	5	33	12	5	5	1	1	2	13	6	6	8	8	5	12	4	10	5	5	1	0	11	8	7	8	8	4	5	2	3	15	8	1	5	146	82	43	22	5	34	5	33	12
GCF_004771075.1	4	7	3	2	1	13	8	6	3	5	5	9	6	10	2	6	2	2	5	2	2	9	1	3	7	3	3	1	7	1	5	102	53	17	14	2	25	5	30	9	4	7	3	2	1	13	8	6	3	5	5	9	6	10	2	6	2	2	5	2	2	9	1	3	7	3	3	1	7	1	5	102	53	17	14	2	25	5	30	9
GCF_004786035.1	4	7	5	1	11	18	7	11	11	12	8	16	7	7	7	5	2	3	10	17	10	5	6	4	8	4	5	20	7	15	4	243	104	78	30	7	53	8	61	11	4	7	5	1	11	18	7	11	11	12	8	16	7	7	7	5	2	3	10	17	10	5	6	4	8	4	5	20	7	15	4	243	104	78	30	7	53	8	61	11
GCF_004792515.1	6	5	2	2	1	13	6	7	1	3	0	7	4	10	2	6	2	3	5	1	3	9	4	2	2	3	4	0	7	1	5	89	39	16	14	0	17	6	25	8	6	5	2	2	1	13	6	7	1	3	0	7	4	10	2	6	2	3	5	1	3	9	4	2	2	3	4	0	7	1	5	89	39	16	14	0	17	6	25	8
GCF_004795735.1	3	4	2	1	4	14	7	7	8	7	6	14	6	10	4	5	2	1	4	5	7	4	5	2	6	5	3	8	8	3	4	141	75	34	19	5	42	10	34	10	3	4	2	1	4	14	7	7	8	7	6	14	6	10	4	5	2	1	4	5	7	4	5	2	6	5	3	8	8	3	4	141	75	34	19	5	42	10	34	10
GCF_004798665.1	4	4	6	2	3	16	6	7	10	9	5	13	6	7	2	6	4	3	4	5	5	4	3	6	3	3	3	5	7	2	4	131	70	26	14	5	38	7	30	7	4	4	6	2	3	16	6	7	10	9	5	13	6	7	2	6	4	3	4	5	5	4	3	6	3	3	3	5	7	2	4	131	70	26	14	5	38	7	30	7
GCF_004798685.1	4	7	5	3	5	15	6	7	7	9	6	13	6	13	7	5	2	1	5	4	6	5	6	5	5	4	3	7	8	6	4	159	80	43	20	5	40	8	36	15	4	7	5	3	5	15	6	7	7	9	6	13	6	13	7	5	2	1	5	4	6	5	6	5	5	4	3	7	8	6	4	159	80	43	20	5	40	8	36	15
GCF_004802635.2	7	4	2	3	2	13	6	6	8	9	7	10	6	12	10	5	1	1	10	8	5	10	8	4	6	3	3	16	8	7	4	173	76	56	34	5	40	6	44	18	7	4	2	3	2	13	6	6	8	9	7	10	6	12	10	5	1	1	10	8	5	10	8	4	6	3	3	16	8	7	4	173	76	56	34	5	40	6	44	18
GCF_004803715.2	4	4	2	1	2	13	6	6	6	9	4	10	4	7	7	5	1	2	7	7	6	6	6	4	4	3	4	9	8	1	5	147	69	33	22	1	27	8	40	11	4	4	2	1	2	13	6	6	6	9	4	10	4	7	7	5	1	2	7	7	6	6	6	4	4	3	4	9	8	1	5	147	69	33	22	1	27	8	40	11
GCF_004803795.1	1	3	2	1	1	10	5	6	7	4	4	11	4	6	5	5	0	3	4	4	3	3	2	3	4	2	3	7	7	2	4	98	60	20	10	3	28	4	26	9	1	3	2	1	1	10	5	6	7	4	4	11	4	6	5	5	0	3	4	4	3	3	2	3	4	2	3	7	7	2	4	98	60	20	10	3	28	4	26	9
GCF_004803815.1	3	3	2	1	1	10	6	6	7	5	4	12	4	6	5	5	0	3	4	6	5	4	3	4	4	2	3	7	7	2	4	108	63	25	14	3	31	4	28	9	3	3	2	1	1	10	6	6	7	5	4	12	4	6	5	5	0	3	4	6	5	4	3	4	4	2	3	7	7	2	4	108	63	25	14	3	31	4	28	9
GCF_004803895.1	4	5	5	2	4	16	6	9	15	10	7	15	6	17	9	6	3	1	10	14	8	8	8	5	10	4	4	18	11	7	4	217	95	58	25	5	41	8	57	20	4	5	5	2	4	16	6	9	15	10	7	15	6	17	9	6	3	1	10	14	8	8	8	5	10	4	4	18	11	7	4	217	95	58	25	5	41	8	57	20
GCF_004843545.1	2	4	3	1	3	11	7	6	4	6	4	5	4	11	5	5	1	1	3	1	2	5	2	1	5	3	3	0	8	1	5	98	50	17	11	5	28	4	25	11	2	4	3	1	3	11	7	6	4	6	4	5	4	11	5	5	1	1	3	1	2	5	2	1	5	3	3	0	8	1	5	98	50	17	11	5	28	4	25	11
GCF_005083985.2	4	3	2	1	2	13	6	6	6	5	6	13	5	6	4	6	0	4	3	4	6	4	3	1	5	1	3	8	8	1	4	110	68	25	12	4	34	6	27	8	4	3	2	1	2	13	6	6	6	5	6	13	5	6	4	6	0	4	3	4	6	4	3	1	5	1	3	8	8	1	4	110	68	25	12	4	34	6	27	8
GCF_005116655.2	6	7	3	6	3	9	7	8	8	6	3	15	6	12	11	5	3	2	10	10	16	8	14	6	6	2	3	14	6	2	5	193	90	58	35	4	40	4	44	20	6	7	3	6	3	9	7	8	8	6	3	15	6	12	11	5	3	2	10	10	16	8	14	6	6	2	3	14	6	2	5	193	90	58	35	4	40	4	44	20
GCF_005116675.2	11	6	2	3	3	11	8	7	7	6	4	15	6	10	7	5	3	1	14	10	12	9	11	6	6	2	3	15	6	2	5	182	82	53	31	5	41	4	41	15	11	6	2	3	3	11	8	7	7	6	4	15	6	10	7	5	3	1	14	10	12	9	11	6	6	2	3	15	6	2	5	182	82	53	31	5	41	4	41	15
GCF_005144435.2	5	8	7	3	9	16	9	11	15	9	7	13	8	9	5	6	6	2	11	18	10	7	6	4	6	3	3	17	7	10	4	226	92	65	27	4	46	8	48	11	5	8	7	3	9	16	9	11	15	9	7	13	8	9	5	6	6	2	11	18	10	7	6	4	6	3	3	17	7	10	4	226	92	65	27	4	46	8	48	11
GCF_005144635.2	5	8	3	2	3	17	6	7	7	6	7	14	8	11	4	10	3	2	8	7	4	6	4	4	10	3	3	10	6	2	5	172	81	40	21	4	38	7	45	14	5	8	3	2	3	17	6	7	7	6	7	14	8	11	4	10	3	2	8	7	4	6	4	4	10	3	3	10	6	2	5	172	81	40	21	4	38	7	45	14
GCF_005144885.1	5	6	5	1	3	14	10	6	11	14	6	14	7	7	8	6	1	1	11	14	8	9	8	7	11	3	6	18	9	2	4	231	91	61	27	5	45	6	60	12	5	6	5	1	3	14	10	6	11	14	6	14	7	7	8	6	1	1	11	14	8	9	8	7	11	3	6	18	9	2	4	231	91	61	27	5	45	6	60	12
GCF_005144965.1	4	5	3	2	4	11	6	8	6	5	7	10	7	7	4	5	1	2	6	8	6	6	5	5	10	2	3	11	5	7	4	140	70	38	19	4	36	5	41	8	4	5	3	2	4	11	6	8	6	5	7	10	7	7	4	5	1	2	6	8	6	6	5	5	10	2	3	11	5	7	4	140	70	38	19	4	36	5	41	8
GCF_005145005.1	5	4	5	1	1	13	6	7	2	3	0	7	4	13	7	6	1	3	7	2	3	9	4	2	2	3	4	0	7	1	5	104	43	17	16	0	15	6	26	14	5	4	5	1	1	13	6	7	2	3	0	7	4	13	7	6	1	3	7	2	3	9	4	2	2	3	4	0	7	1	5	104	43	17	16	0	15	6	26	14
GCF_005155025.1	4	8	2	2	8	17	9	11	13	9	9	11	8	8	11	5	3	3	10	17	9	7	6	4	8	3	3	17	8	11	4	215	98	67	33	6	47	9	52	15	4	8	2	2	8	17	9	11	13	9	9	11	8	8	11	5	3	3	10	17	9	7	6	4	8	3	3	17	8	11	4	215	98	67	33	6	47	9	52	15
GCF_005221285.1	3	5	2	1	3	14	9	6	6	7	7	11	6	7	8	5	1	1	6	2	5	5	6	4	7	3	3	8	8	2	4	140	73	38	22	5	36	8	42	12	3	5	2	1	3	14	9	6	6	7	7	11	6	7	8	5	1	1	6	2	5	5	6	4	7	3	3	8	8	2	4	140	73	38	22	5	36	8	42	12
GCF_005280655.1	3	13	9	2	4	9	6	9	8	7	5	15	6	10	5	6	5	3	6	4	5	11	4	4	6	2	3	8	7	3	5	157	85	42	20	5	48	4	34	10	3	13	9	2	4	9	6	9	8	7	5	15	6	10	5	6	5	3	6	4	5	11	4	4	6	2	3	8	7	3	5	157	85	42	20	5	48	4	34	10
GCF_005280735.1	5	8	8	5	8	18	7	11	16	9	7	17	7	12	15	5	4	2	14	24	10	7	8	5	8	3	6	15	9	10	4	277	112	90	46	10	57	7	61	20	5	8	8	5	8	18	7	11	16	9	7	17	7	12	15	5	4	2	14	24	10	7	8	5	8	3	6	15	9	10	4	277	112	90	46	10	57	7	61	20
GCF_005281475.1	2	5	7	2	2	9	7	5	8	10	6	9	7	7	5	4	2	2	8	3	6	6	4	6	6	2	3	11	7	6	5	150	70	38	13	6	37	6	39	12	2	5	7	2	2	9	7	5	8	10	6	9	7	7	5	4	2	2	8	3	6	6	4	6	6	2	3	11	7	6	5	150	70	38	13	6	37	6	39	12
GCF_005377625.1	7	4	1	5	2	9	4	8	5	5	5	12	6	6	9	7	3	2	7	4	3	7	6	4	5	3	3	12	7	3	5	132	72	34	17	6	35	2	36	13	7	4	1	5	2	9	4	8	5	5	5	12	6	6	9	7	3	2	7	4	3	7	6	4	5	3	3	12	7	3	5	132	72	34	17	6	35	2	36	13
GCF_005473905.2	4	5	8	3	4	9	7	9	8	5	6	19	7	11	4	7	1	2	4	4	5	7	3	4	5	1	3	14	8	4	5	144	82	38	13	4	45	5	38	13	4	5	8	3	4	9	7	9	8	5	6	19	7	11	4	7	1	2	4	4	5	7	3	4	5	1	3	14	8	4	5	144	82	38	13	4	45	5	38	13
GCF_005484965.1	5	6	9	3	4	18	8	8	9	19	8	15	6	11	9	5	3	3	12	10	9	7	6	5	5	4	4	16	8	3	5	235	108	62	26	6	44	13	58	17	5	6	9	3	4	18	8	8	9	19	8	15	6	11	9	5	3	3	12	10	9	7	6	5	5	4	4	16	8	3	5	235	108	62	26	6	44	13	58	17
GCF_005519465.1	4	7	3	1	8	15	6	10	17	13	8	13	9	14	6	6	3	1	10	12	10	8	9	5	8	4	3	18	10	5	4	205	98	60	30	7	48	8	45	15	4	7	3	1	8	15	6	10	17	13	8	13	9	14	6	6	3	1	10	12	10	8	9	5	8	4	3	18	10	5	4	205	98	60	30	7	48	8	45	15
GCF_005577435.1	1	6	9	4	4	12	7	7	6	13	6	10	6	15	10	8	1	2	3	3	5	4	3	5	6	4	3	9	8	2	5	146	83	30	10	5	37	5	37	20	1	6	9	4	4	12	7	7	6	13	6	10	6	15	10	8	1	2	3	3	5	4	3	5	6	4	3	9	8	2	5	146	83	30	10	5	37	5	37	20
GCF_005601135.1	3	3	2	1	2	12	7	8	4	8	2	10	4	8	4	5	1	2	4	1	8	5	4	4	1	2	2	4	8	2	4	98	58	22	10	4	32	7	21	10	3	3	2	1	2	12	7	8	4	8	2	10	4	8	4	5	1	2	4	1	8	5	4	4	1	2	2	4	8	2	4	98	58	22	10	4	32	7	21	10
GCF_005670685.2	3	5	2	1	8	17	7	11	8	10	6	14	5	12	6	5	2	3	11	12	5	6	8	4	8	5	3	16	10	10	4	195	99	57	25	6	47	9	50	14	3	5	2	1	8	17	7	11	8	10	6	14	5	12	6	5	2	3	11	12	5	6	8	4	8	5	3	16	10	10	4	195	99	57	25	6	47	9	50	14
GCF_005671335.1	4	5	9	2	3	11	6	7	10	13	7	11	6	14	7	6	3	2	9	8	6	9	5	6	7	4	4	14	7	6	5	179	87	52	24	6	39	4	46	15	4	5	9	2	3	11	6	7	10	13	7	11	6	14	7	6	3	2	9	8	6	9	5	6	7	4	4	14	7	6	5	179	87	52	24	6	39	4	46	15
GCF_005671395.1	7	6	7	5	5	14	7	7	18	14	7	17	9	10	9	7	3	3	9	15	11	7	7	6	6	5	4	11	10	7	5	246	102	70	31	5	45	8	54	15	7	6	7	5	5	14	7	7	18	14	7	17	9	10	9	7	3	3	9	15	11	7	7	6	6	5	4	11	10	7	5	246	102	70	31	5	45	8	54	15
GCF_005843985.1	4	3	2	1	2	12	6	6	6	5	6	13	4	8	12	5	0	3	3	8	6	4	3	2	5	2	3	8	7	1	4	123	74	28	16	4	34	6	30	16	4	3	2	1	2	12	6	6	6	5	6	13	4	8	12	5	0	3	3	8	6	4	3	2	5	2	3	8	7	1	4	123	74	28	16	4	34	6	30	16
GCF_005845365.1	3	5	2	1	3	15	6	7	6	6	7	13	7	9	2	7	2	1	4	3	7	3	5	2	5	2	3	6	6	2	4	119	72	29	13	4	38	8	29	9	3	5	2	1	3	15	6	7	6	6	7	13	7	9	2	7	2	1	4	3	7	3	5	2	5	2	3	6	6	2	4	119	72	29	13	4	38	8	29	9
GCF_005849285.1	4	3	2	1	4	12	6	8	10	5	6	10	5	7	7	5	1	1	8	8	7	7	8	5	5	2	3	14	7	4	4	156	69	42	20	4	37	6	40	11	4	3	2	1	4	12	6	8	10	5	6	10	5	7	7	5	1	1	8	8	7	7	8	5	5	2	3	14	7	4	4	156	69	42	20	4	37	6	40	11
GCF_005860795.2	6	8	5	3	9	16	8	12	17	6	6	10	6	11	12	5	4	2	12	19	11	7	10	4	5	4	3	19	10	13	4	210	94	65	32	4	42	8	41	18	6	8	5	3	9	16	8	12	17	6	6	10	6	11	12	5	4	2	12	19	11	7	10	4	5	4	3	19	10	13	4	210	94	65	32	4	42	8	41	18
GCF_005862185.2	5	11	7	4	9	17	9	13	18	12	7	12	8	14	14	6	5	2	11	16	13	9	10	6	7	3	3	16	7	10	5	249	100	78	36	5	50	9	48	23	5	11	7	4	9	17	9	13	18	12	7	12	8	14	14	6	5	2	11	16	13	9	10	6	7	3	3	16	7	10	5	249	100	78	36	5	50	9	48	23
GCF_005862305.2	6	12	7	5	9	16	12	12	17	10	7	12	8	15	12	6	6	2	12	16	13	11	10	6	10	3	3	17	8	12	6	256	97	75	38	5	49	10	50	22	6	12	7	5	9	16	12	12	17	10	7	12	8	15	12	6	6	2	12	16	13	11	10	6	10	3	3	17	8	12	6	256	97	75	38	5	49	10	50	22
GCF_005885815.1	4	4	2	1	6	16	7	7	9	8	5	10	5	8	8	5	1	2	8	5	7	5	6	2	6	2	3	12	5	6	4	146	80	37	16	6	38	10	41	13	4	4	2	1	6	16	7	7	9	8	5	10	5	8	8	5	1	2	8	5	7	5	6	2	6	2	3	12	5	6	4	146	80	37	16	6	38	10	41	13
GCF_005886435.1	4	4	4	1	3	15	5	7	6	8	5	10	6	9	4	6	1	1	3	4	6	4	4	5	1	3	3	1	6	2	4	110	58	20	13	4	34	7	22	9	4	4	4	1	3	15	5	7	6	8	5	10	6	9	4	6	1	1	3	4	6	4	4	5	1	3	3	1	6	2	4	110	58	20	13	4	34	7	22	9
GCF_005887635.2	5	9	8	1	8	15	9	11	16	11	6	12	5	11	10	5	1	1	7	13	7	8	7	4	6	2	3	15	10	11	4	214	92	61	28	4	46	6	43	14	5	9	8	1	8	15	9	11	16	11	6	12	5	11	10	5	1	1	7	13	7	8	7	4	6	2	3	15	10	11	4	214	92	61	28	4	46	6	43	14
GCF_005890135.1	4	5	2	1	3	11	7	7	10	10	6	11	7	10	3	6	3	1	5	7	7	6	6	5	6	4	3	12	12	2	4	148	76	36	21	4	38	5	39	10	4	5	2	1	3	11	7	7	10	10	6	11	7	10	3	6	3	1	5	7	7	6	6	5	6	4	3	12	12	2	4	148	76	36	21	4	38	5	39	10
GCF_005952805.1	4	5	2	2	3	12	7	6	9	9	8	9	6	8	10	5	1	3	6	11	8	5	7	4	5	3	3	14	8	6	4	170	76	49	23	7	39	6	42	14	4	5	2	2	3	12	7	6	9	9	8	9	6	8	10	5	1	3	6	11	8	5	7	4	5	3	3	14	8	6	4	170	76	49	23	7	39	6	42	14
GCF_006065315.1	4	5	8	2	3	10	6	6	9	8	7	8	6	14	9	4	2	2	9	6	6	8	6	3	6	2	3	8	3	7	4	151	69	38	15	7	37	7	33	20	4	5	8	2	3	10	6	6	9	8	7	8	6	14	9	4	2	2	9	6	6	8	6	3	6	2	3	8	3	7	4	151	69	38	15	7	37	7	33	20
GCF_006094375.1	5	4	3	1	2	12	5	6	8	8	4	9	6	8	2	6	1	2	8	3	3	7	3	6	5	3	4	8	8	5	5	132	64	29	15	4	28	5	39	7	5	4	3	1	2	12	5	6	8	8	4	9	6	8	2	6	1	2	8	3	3	7	3	6	5	3	4	8	8	5	5	132	64	29	15	4	28	5	39	7
GCF_006094395.1	5	5	5	1	1	12	6	6	9	9	4	9	6	9	3	6	1	2	7	4	3	7	3	6	4	3	4	8	7	5	5	131	62	32	18	3	26	6	36	8	5	5	5	1	1	12	6	6	9	9	4	9	6	9	3	6	1	2	7	4	3	7	3	6	4	3	4	8	7	5	5	131	62	32	18	3	26	6	36	8
GCF_006094455.1	5	5	3	1	2	13	7	6	8	10	8	15	7	10	6	6	1	2	11	12	7	7	7	4	6	4	4	15	8	4	5	196	89	56	32	5	42	8	53	13	5	5	3	1	2	13	7	6	8	10	8	15	7	10	6	6	1	2	11	12	7	7	7	4	6	4	4	15	8	4	5	196	89	56	32	5	42	8	53	13
GCF_006151905.1	5	7	6	2	2	13	7	7	6	7	6	4	6	10	3	5	3	1	6	2	4	6	4	4	1	4	3	2	7	2	5	110	51	27	13	3	27	5	21	10	5	7	6	2	2	13	7	7	6	7	6	4	6	10	3	5	3	1	6	2	4	6	4	4	1	4	3	2	7	2	5	110	51	27	13	3	27	5	21	10
GCF_006228385.1	4	6	6	1	2	14	6	5	11	10	9	13	5	11	7	5	1	2	9	4	8	7	5	3	7	2	4	11	8	1	5	182	88	51	27	6	45	7	45	15	4	6	6	1	2	14	6	5	11	10	9	13	5	11	7	5	1	2	9	4	8	7	5	3	7	2	4	11	8	1	5	182	88	51	27	6	45	7	45	15
GCF_006337065.1	3	5	5	1	3	15	6	7	10	8	7	12	8	10	6	8	2	1	5	8	6	3	5	2	4	4	3	7	8	6	4	156	76	45	21	4	37	7	31	13	3	5	5	1	3	15	6	7	10	8	7	12	8	10	6	8	2	1	5	8	6	3	5	2	4	4	3	7	8	6	4	156	76	45	21	4	37	7	31	13
GCF_006337085.1	3	3	3	1	1	14	6	6	7	7	5	13	6	6	6	5	1	1	7	3	4	5	5	5	3	3	3	6	6	1	4	114	65	24	14	3	37	8	28	10	3	3	3	1	1	14	6	6	7	7	5	13	6	6	6	5	1	1	7	3	4	5	5	5	3	3	3	6	6	1	4	114	65	24	14	3	37	8	28	10
GCF_006337165.1	2	7	8	3	3	9	6	6	8	8	6	9	5	10	12	4	2	2	10	6	6	7	4	2	6	2	2	8	7	6	5	151	69	43	17	5	35	8	32	19	2	7	8	3	3	9	6	6	8	8	6	9	5	10	12	4	2	2	10	6	6	7	4	2	6	2	2	8	7	6	5	151	69	43	17	5	35	8	32	19
GCF_006351925.1	5	4	7	5	1	10	5	7	8	7	6	13	6	16	10	7	1	2	4	3	5	7	3	1	1	1	3	1	11	2	5	117	65	21	13	4	36	4	16	18	5	4	7	5	1	10	5	7	8	7	6	13	6	16	10	7	1	2	4	3	5	7	3	1	1	1	3	1	11	2	5	117	65	21	13	4	36	4	16	18
GCF_006352065.1	3	7	4	2	3	16	5	7	8	9	7	12	7	10	6	6	3	1	9	11	5	3	4	3	6	3	3	7	8	2	4	159	77	42	26	4	40	7	33	12	3	7	4	2	3	16	5	7	8	9	7	12	7	10	6	6	3	1	9	11	5	3	4	3	6	3	3	7	8	2	4	159	77	42	26	4	40	7	33	12
GCF_006385555.1	4	6	3	1	3	14	7	6	11	8	7	14	6	12	11	5	1	3	11	12	7	7	5	2	7	2	4	14	7	7	5	195	99	55	30	5	45	7	54	18	4	6	3	1	3	14	7	6	11	8	7	14	6	12	11	5	1	3	11	12	7	7	5	2	7	2	4	14	7	7	5	195	99	55	30	5	45	7	54	18
GCF_006385595.1	4	5	3	2	2	13	6	6	6	10	4	11	4	7	8	5	3	2	10	8	6	6	7	4	4	4	4	11	7	1	5	169	74	43	27	2	34	8	40	12	4	5	3	2	2	13	6	6	6	10	4	11	4	7	8	5	3	2	10	8	6	6	7	4	4	4	4	11	7	1	5	169	74	43	27	2	34	8	40	12
GCF_006459125.1	2	5	2	0	4	14	6	6	10	8	7	13	5	8	5	5	0	3	7	4	6	3	3	3	6	2	3	8	7	2	4	131	73	36	15	6	37	7	34	10	2	5	2	0	4	14	6	6	10	8	7	13	5	8	5	5	0	3	7	4	6	3	3	3	6	2	3	8	7	2	4	131	73	36	15	6	37	7	34	10
GCF_006494815.1	3	6	2	3	5	14	6	10	8	5	6	15	6	8	4	4	2	2	5	7	8	3	7	2	6	4	3	13	6	10	4	158	72	46	15	4	40	8	38	9	3	6	2	3	5	14	6	10	8	5	6	15	6	8	4	4	2	2	5	7	8	3	7	2	6	4	3	13	6	10	4	158	72	46	15	4	40	8	38	9
