accession	genome_size_mb	genes_total_num	genes_protein_num	gc_percent	organism_name	organism_taxId	ORGANISM ECOSYSTEM CATEGORY
GCF_027111295.1	5.832845	4981	4875	35.5	Flavobacterium gelatinilyticum	3003260	Aquatic
GCF_027111315.2	4.510424	3744	3644	37.5	Flavobacterium limnophilum	3003262	Aquatic
GCF_027111335.1	5.0548	4125	4026	35.0	Flavobacterium aquiphilum	3003261	Aquatic
GCF_027111355.2	3.845436	3252	3182	34.0	Flavobacterium eburneipallidum	3003263	Aquatic
GCF_027186265.1	3.752521	3753	3562	40.5	Lentibacillus daqui	2911514	Food production
GCF_027359925.1	5.091677	4397	4303	61.5	Hymenobacter canadensis	2999067	Aquatic
GCF_028416635.1	5.863246	5883	5767	73.0	Baekduia alba	2997333	Terrestrial
GCF_029625215.1	4.604442	3820	3765	35.5	Aurantibacillus circumpalustris	3036359	Terrestrial
GCF_029625295.1	5.095879	4318	4042	34.0	Flavobacterium gyeonganense	1310418	Aquatic
GCF_029869925.1	4.481396	3690	3608	56.5	Microbulbifer bruguierae	3029061	Terrestrial
GCF_030064165.1	5.298694	4961	4778	61.5	Comamonas resistens	3046670	Wastewater
GCF_030177755.1	3.96543	3960	3816	61.0	Devosia rhizosphaerae	3049774	Plants
GCF_030296615.1	4.680421	5066	4497	68.5	Frondihabitans sucicola	1268041	Plants
GCF_030490285.1	4.63408	4304	4217	52.5	Methylomonas montana	3058963	Aquatic
GCF_030503875.2	4.048213	3508	3449	33.5	Marivirga arenosa	3059076	Aquatic
GCF_030758975.1	5.560387	5369	5219	66.0	Bosea beijingensis	3068632	Food production
GCF_030845175.1	3.918007	3535	3462	55.0	Coralliovum pocilloporae	3066369	Aquatic
GCF_030864005.1	6.86268	6221	6114	61.5	Achromobacter seleniivolatilans	3047478	Terrestrial
GCF_031432975.1	5.218828	4806	4611	50.5	Buttiauxella selenatireducens	3073902	Terrestrial
GCF_032814565.1	3.906595	3380	3332	36.0	Hwangdonia lutea	3075823	Aquatic
GCF_034627025.1	7.316924	7135	6778	63.0	Microvirga lotononidis	864069	Plants
GCF_035320885.1	4.901425	6567	5399	72.5	Blastococcus brunescens	1564165	Terrestrial
GCF_036416795.1	6.440948	5083	4866	43.0	Bacteroides maternus	3117552	Mammals: Human
GCF_038098645.1	4.4119	4127	3988	57.5	Marinobacter metalliresistant	2961995	Aquatic
GCF_038396755.1	6.078843	5194	5036	54.0	Chitinophaga pollutisoli	3133966	Terrestrial
GCF_041320605.1	4.694007	3866	3781	39.0	Arenibacter antarcticus	2040469	Aquatic
GCF_042850945.1	5.942233	5064	4955	50.5	Halioxenophilus aromaticivorans	1306992	Aquatic
GCF_043587585.2	4.815779	4603	4165	64.0	Azorhizophilus paspali	69963	Terrestrial
GCF_045689235.1	3.931143	3529	3469	55.0	Congregibacter variabilis	3081200	Aquatic
GCF_045689245.1	3.866995	3461	3395	54.0	Congregibacter brevis	3081201	Aquatic
GCF_047456275.1	4.094424	3822	3706	42.5	Acetobacterium carbinolicum	52690	Aquatic
GCF_049860565.1	4.2598	4153	4003	41.5	Desulfitobacterium nosdiversum	3375356	Terrestrial
GCF_900130075.1	3.784322	3585	3512	51.5	Herminiimonas arsenitoxidans	1809410	Terrestrial
GCF_900187095.1	3.735697	3435	3341	39.0	Legionella waltersii	66969	Aquatic
GCF_900292015.1	5.60763	4815	4613	65.0	Mycobacterium basiliense	2094119	Mammals: Human
GCF_900637665.1	5.602501	5152	4996	35.5	Chryseobacterium nakagawai	1241982	Mammals: Human
GCF_902813185.1	4.293412	4005	3885	62.0	Denitratisoma oestradiolicum	311182	Wastewater
GCF_963378075.1	4.341397	3999	3908	68.5	[Mycobacterium] kokjensenii	3064287	Mammals: Human
GCF_963378085.1	5.224726	4974	4842	68.5	[Mycobacterium] wendilense	3064284	Mammals: Human
GCF_963378095.1	5.453374	5194	5072	67.5	[Mycobacterium] burgundiense	3064286	Mammals: Human
GCF_963378105.1	4.794172	4442	4337	67.5	[Mycobacterium] holstebronense	3064288	Mammals: Human
GCF_000214155.1	4.643668	4433	4313	68.5	Mycolicibacter sinensis	875328	Mammals: Human
GCF_000612505.1	5.270569	4955	4783	52.5	Paenibacillus sabinae T27	1268072	Plants
GCF_000746025.2	3.805411	3899	3751	45.0	Thermanaerosceptrum fracticalcis	1712410	Terrestrial
GCF_000758685.1	5.658798	5321	5079	53.5	Paenibacillus stellifer	169760	Food production
GCF_000769405.2	7.118658	6880	6662	61.0	Rhizobium brockwellii	3019932	Plants
GCF_000803645.1	5.202172	4968	4863	64.0	Sphingopyxis fribergensis	1515612	Terrestrial
GCF_000807775.2	5.592065	4953	4826	63.0	Pandoraea fibrosis	1891094	Mammals: Human
GCF_000828635.1	3.802648	3679	3586	63.5	Sulfuritalea hydrogenivorans sk43H	1223802	Aquatic
GCF_000934605.2	5.736282	4994	4833	63.5	Pandoraea vervacti	656178	Terrestrial
GCF_000961095.1	5.749967	5273	5032	52.5	Paenibacillus beijingensis	1126833	Terrestrial
GCF_001078055.1	4.820793	3903	3844	51.5	Rufibacter radiotolerans	1379910	Terrestrial
GCF_001263175.1	4.350553	3727	3613	69.0	Vulgatibacter incomptus	1391653	Terrestrial
GCF_001294575.1	5.149788	4722	4504	58.0	Pseudomonas versuta	1788301	Terrestrial
GCF_001443605.1	4.812386	3847	3749	39.0	Salinivirga cyanobacteriivorans	1307839	Aquatic
GCF_001586255.1	4.204359	3774	3701	50.5	Zhongshania aliphaticivorans	1470434	Unclassified
GCF_001644605.1	5.012599	4573	4420	49.0	Paenibacillus swuensis	1178515	Terrestrial
GCF_001654455.1	5.627734	4664	4591	44.5	Niabella ginsenosidivorans	1176587	Solid waste
GCF_001975705.1	5.259072	5154	5037	65.5	Salipiger abyssi	1250539	Aquatic
GCF_002085925.2	4.395474	4225	4082	64.0	Thioclava electrotropha	1549850	Aquatic
GCF_002117105.1	4.472079	4077	3957	47.5	Oceanicoccus sagamiensis	716816	Aquatic
GCF_002162355.1	5.249768	4860	4484	56.0	Tumebacillus avium	1903704	Birds
GCF_002243515.1	4.516965	4156	3842	53.0	Tumebacillus algifaecis	1214604	Aquatic
GCF_002277955.1	4.810751	3425	3358	57.5	Thermogutta terrifontis	1331910	Aquatic
GCF_002764115.1	6.208009	6138	5830	57.0	Phyllobacterium zundukense	1867719	Plants
GCF_002893765.1	4.116543	3634	3495	35.0	Pseudotamlana carrageenivorans	2069432	Aquatic
GCF_002951615.1	5.530672	5093	4856	52.5	Rahnella sikkimica	1805933	Terrestrial
GCF_003008535.1	3.901011	3606	3503	67.0	Ottowia oryzae	2109914	Food production
GCF_003028855.1	6.337491	5645	5394	66.5	Pseudoduganella armeniaca	2072590	Terrestrial
GCF_003058465.1	4.227194	3805	3571	55.5	Orrella marina	2163011	Unclassified
GCF_003130705.1	8.014224	7532	7084	65.5	Rhodococcus oxybenzonivorans	1990687	Aquatic
GCF_003268595.1	3.728451	3679	3525	35.0	Paraliobacillus zengyii	2213194	Mammals
GCF_003351765.1	3.918911	3647	3540	72.5	Ornithinimicrobium avium	2283195	Birds
GCF_003352005.1	4.103611	4035	3832	37.0	Oceanobacillus zhaokaii	2052660	Mammals
GCF_003382565.3	4.464425	4155	3907	51.0	Pectobacterium aquaticum	2204145	Aquatic
GCF_003403095.1	4.701725	4377	4280	55.0	Thalassospira indica	1891279	Aquatic
GCF_003429285.1	4.440293	3866	3735	48.0	Salinimonas sediminis	2303538	Aquatic
GCF_003595175.1	4.949615	4539	4348	64.5	Pseudomonas cavernae	2320867	Aquatic
GCF_003627755.1	8.025568	7572	7202	59.5	Rhizobium jaguaris	1312183	Plants
GCF_003710085.1	4.041717	3901	3809	73.0	Nocardioides pantholopis	2483798	Mammals
GCF_003931855.1	5.288676	4750	4520	46.5	Paenibacillus lentus	1338368	Terrestrial
GCF_003935895.2	4.713964	4553	4366	54.5	Scandinavium goeteborgense	1851514	Plants
GCF_003940825.1	6.049604	5566	5352	64.0	Pseudomonas oryziphila	2894079	Terrestrial
GCF_003952225.1	6.632345	6083	5885	51.0	Paenibacillus albus	2495582	Terrestrial
GCF_003955735.1	4.910324	4308	4194	50.0	Undibacterium parvum	401471	Aquatic
GCF_003990335.1	4.628354	4142	4025	46.5	Rheinheimera mangrovi	2498451	Aquatic
GCF_003991425.1	6.497679	5874	5644	46.5	Paenibacillus lutimineralis	2707005	Terrestrial
GCF_004006175.1	5.080916	4951	4721	56.0	Parasedimentitalea marina	2483033	Aquatic
GCF_004124235.1	4.803435	4438	4251	48.0	Yersinia hibernica	2339259	Mammals
GCF_004135975.1	4.688868	4221	4113	64.5	Solidesulfovibrio carbinolicus	296842	Food production
GCF_004168365.1	4.728975	4081	3974	58.5	Pseudolysobacter antarcticus	2511995	Terrestrial
GCF_004295345.1	4.718011	4057	3829	44.5	Shewanella maritima	2520507	Aquatic
GCF_004322775.1	4.169359	3836	3734	71.5	Ornithinimicrobium sufpigmenti	2508882	Mammals
GCF_004323735.1	5.81419	5076	4957	72.0	Streptomonospora litoralis	2498135	Aquatic
GCF_004337365.2	4.701441	4113	4026	34.0	Rhizosphaericola mali	2545455	Plants
GCF_004347775.1	4.80451	4008	3938	49.5	Pseudocnuella soli	2502779	Terrestrial
GCF_004421105.1	4.02264	3879	3733	50.5	Nitrosococcus wardiae	1814290	Aquatic
GCF_004564375.1	4.017744	3973	3902	72.0	Nocardioides euryhalodurans	2518370	Terrestrial
GCF_004683965.1	3.974362	3918	3831	70.5	Nocardioides seonyuensis	2518371	Terrestrial
GCF_005280735.1	8.576517	7827	7544	63.0	Trinickia violacea	2571746	Terrestrial
GCF_005473905.2	4.817678	3868	3735	33.0	Ruminiclostridium herbifermentans	2488810	Bioreactor
GCF_005577435.1	4.475055	4208	4028	51.0	Paenibacillus algicola	2565926	Plants
GCF_005862305.2	7.533049	7310	7053	61.0	Rhizobium indicum	2583231	Plants
GCF_005887635.2	5.468583	4865	4734	70.0	Paroceanicella profunda	2579971	Aquatic
GCF_006228385.1	4.159483	3804	3688	47.5	Salinimonas iocasae	2572577	Aquatic
GCF_006494815.1	4.434294	4366	4092	71.5	Nocardioides sambongensis	2589074	Terrestrial
GCF_006542275.1	5.619468	4759	4621	58.5	Saccharibacillus brassicae	2583377	Mammals: Human
GCF_006738645.1	5.83265	5550	5455	70.0	Stella humosa	94	Terrestrial
GCF_006965545.2	4.040495	4016	3900	43.0	Paenalkalicoccus suaedae	2592382	Unclassified
GCF_006970865.1	4.387497	4256	4112	64.5	Rhodoferax sediminis	2509614	Aquatic
GCF_006974105.1	4.73769	4404	4289	57.5	Rhodoferax aquaticus	2527691	Aquatic
GCF_007004545.3	5.85132	5052	4836	43.5	Shewanella eurypsychrophilus	2593656	Aquatic
GCF_007197555.1	6.449204	5781	5276	45.0	Shewanella psychropiezotolerans	2593655	Aquatic
GCF_007197575.1	4.092907	3813	3720	69.0	Ornithinimicrobium ciconiae	2594265	Mammals
GCF_007559025.1	4.01325	3682	3586	71.0	Tomitella fengzijianii	2597660	Mammals
GCF_007833215.1	4.154291	3982	3890	65.5	Sphingomonas suaedae	2599297	Terrestrial
GCF_007922615.2	4.855325	4755	4668	65.0	Nitratireductor mangrovi	2599600	Terrestrial
GCF_007971225.1	5.528026	4700	4638	38.0	Panacibacter ginsenosidivorans	1813871	Plants
GCF_008329965.1	4.012482	3652	3554	43.0	Oceanispirochaeta crateris	2518645	Aquatic
GCF_008727715.1	6.02479	5794	5671	63.0	Terribium terrae	2725666	Terrestrial
GCF_008727795.1	4.172991	3889	3788	50.0	Nitrincola iocasae	2614693	Aquatic
GCF_008761635.1	3.998545	3927	3845	71.5	Nocardioides cynanchi	2558918	Terrestrial
GCF_008973485.1	4.351338	4206	4019	36.0	Psychrobacillus glaciei	2283160	Terrestrial
GCF_009557615.1	4.322926	3673	3576	39.0	Sphingobacterium zhuxiongii	2662364	Mammals
GCF_009708215.1	5.648255	5228	5134	71.0	Occultella kanbiaonis	2675754	Mammals
GCF_009740285.1	4.372196	4039	3919	46.5	Phnomibacter ginsenosidimutans	2676868	Aquatic
GCF_009762325.1	3.93477	3854	3795	62.5	Roseovarius faecimaris	2494550	Terrestrial
GCF_009762795.1	3.90995	3606	3527	60.0	Pseudodesulfovibrio cashew	2678688	Unclassified
GCF_009792295.1	3.766904	3357	3218	36.5	Myroides fluvii	2572594	Aquatic
GCF_009792355.1	3.864763	3969	3900	63.5	Terricaulis silvestris	2686094	Terrestrial
GCF_009817885.1	5.098052	4772	4551	58.0	Serratia rhizosphaerae	2597702	Plants
GCF_009831415.1	4.710154	4307	4118	47.0	Yersinia canariae	2607663	Mammals: Human
GCF_009905215.1	3.882676	3185	3104	53.0	Tichowtungia aerotolerans	2697043	Aquatic
GCF_009906855.1	5.8734	5492	5311	68.5	Xylophilus rhododendri	2697032	Plants
GCF_009913235.1	4.352178	3686	3625	50.5	Nibribacter ruber	2698458	Terrestrial
GCF_009931655.1	4.965849	4151	4051	54.5	Pontibacter russatus	2694929	Terrestrial
GCF_010092985.1	4.344619	3781	3687	45.5	Pontibacter pudoricolor	2694930	Terrestrial
GCF_010119935.1	6.74331	5939	5755	58.0	Paenibacillus lycopersici	2704462	Plants
GCF_010725725.1	5.484749	5380	5256	67.5	Mycolicibacterium pulveris	36813	Unclassified
GCF_010725885.1	6.328149	6130	6014	68.0	Mycolicibacterium tokaiense	39695	Terrestrial
GCF_010726245.1	5.925482	5733	5627	66.5	Mycolicibacterium aichiense	1799	Terrestrial
GCF_010726955.1	4.156821	4021	3869	70.5	Mycolicibacterium fallax	1793	Aquatic
GCF_010728155.1	4.029398	4002	3759	67.5	Mycolicibacterium doricum	126673	Mammals: Human
GCF_010729305.1	5.732362	5571	5392	68.5	Mycolicibacterium psychrotolerans	216929	Terrestrial
GCF_010729485.1	4.396654	4125	3992	68.5	Mycolicibacter hiberniae	29314	Plants
GCF_010729665.1	5.940375	5668	5511	69.0	Mycolicibacterium madagascariense	212765	Plants
GCF_010729895.1	5.876557	5564	5442	67.5	Mycolicibacterium confluentis	28047	Mammals: Human
GCF_010731595.1	5.5313	5198	5035	68.5	Mycobacterium seoulense	386911	Mammals: Human
GCF_010731615.1	4.577045	4331	4195	69.0	Mycolicibacterium insubricum	444597	Mammals: Human
GCF_011009015.1	6.68709	6166	6005	40.0	Spartinivicinus ruber	2683272	Aquatic
GCF_011046535.1	5.120341	5170	5040	73.5	Nocardioides anomalus	2712223	Terrestrial
GCF_011057975.1	3.859475	3845	3772	64.5	Stakelama tenebrarum	2711215	Aquatic
GCF_011420305.2	4.264922	4108	4030	72.5	Nocardioides ochotonae	2685869	Mammals
GCF_011492945.1	4.5841	4660	4509	67.0	Rubrobacter tropicus	2653851	Aquatic
GCF_011492965.1	4.420351	4651	4324	69.0	Rubrobacter marinus	2653852	Aquatic
GCF_012584515.1	3.837686	3521	3385	52.0	Polaromonas vacuolata	37448	Aquatic
GCF_012849055.1	6.049537	5224	5026	55.0	Spirosoma rhododendri	2728024	Plants
GCF_012932215.1	3.962631	3840	3777	60.5	Roseobacter ponti	1891787	Aquatic
GCF_013003965.1	4.563145	4356	4293	67.0	Usitatibacter rugosus	2732067	Terrestrial
GCF_013003985.1	3.958808	3862	3798	66.0	Usitatibacter palustris	2732487	Terrestrial
GCF_013177455.1	4.391338	4187	4112	73.5	Nocardioides marmotae	2663857	Mammals
GCF_013285385.1	4.705628	4549	4376	52.0	Paramixta manurensis	2740817	Solid waste
GCF_013374995.1	6.401699	5831	5619	63.0	Pseudomonas eucalypticola	2599595	Plants
GCF_013394595.1	4.512651	3912	3843	34.5	Winogradskyella forsetii	2686077	Aquatic
GCF_013394655.1	4.560973	3968	3901	34.5	Winogradskyella schleiferi	2686078	Aquatic
GCF_013466985.1	4.624782	4974	4517	71.5	Nocardioides ungokensis	1643322	Aquatic
GCF_014126825.1	4.353844	4091	3904	71.0	Tomitella gaofuii	2760083	Mammals
GCF_014235185.1	6.490139	6384	6255	74.0	Pseudonocardia petroleophila	37331	Terrestrial
GCF_014268275.3	6.240195	5802	5621	60.0	Pseudomonas tritici	2745518	Plants
GCF_014268445.2	6.621778	5945	5799	59.0	Pseudomonas tensinigenes	2745511	Plants
GCF_014268485.2	6.630739	5900	5726	59.0	Pseudomonas zeae	2745510	Plants
GCF_014268595.2	6.045338	5365	5221	60.0	Pseudomonas hamedanensis	2745504	Plants
GCF_014268885.2	5.607668	5027	4860	64.0	Pseudomonas xantholysinigenes	2745490	Plants
GCF_014269225.2	5.393636	4967	4797	63.5	Pseudomonas anuradhapurensis	485870	Plants
GCF_014287515.2	3.959994	3643	3488	41.5	Roseburia rectibacter	2763062	Mammals: Human
GCF_014337215.1	3.949724	3673	3552	49.5	Wansuia hejianensis	2763667	Mammals: Human
GCF_014489595.1	4.67999	4544	3910	68.5	Paenacidovorax monticola	1926868	Terrestrial
GCF_014692875.1	5.825361	4971	4819	38.5	Pedobacter riviphilus	2766984	Aquatic
GCF_014863585.1	6.563527	5919	5761	60.5	Pseudomonas gozinkensis	2774461	Terrestrial
GCF_014863605.1	6.565027	6094	5931	60.5	Pseudomonas allokribbensis	2774460	Terrestrial
GCF_014946775.2	4.469125	4099	3856	51.5	Pectobacterium quasiaquaticum	2774015	Aquatic
GCF_014960965.1	4.448695	3953	3883	68.0	Ruania alkalisoli	2779775	Terrestrial
GCF_015500095.1	5.631885	4904	4822	52.0	Phototrophicus methaneseepsis	2710758	Aquatic
GCF_015644725.1	3.765169	3473	3120	49.5	Salinimonas marina	2785918	Aquatic
GCF_015679185.1	5.42607	4468	4393	41.5	Pedobacter endophyticus	2789740	Plants
GCF_015679265.1	4.199362	4203	4121	67.0	Pontivivens ytuae	2789856	Aquatic
GCF_016132545.1	4.07857	3711	3636	56.5	Spongiibacter nanhainus	2794344	Aquatic
GCF_016653635.2	7.569752	7097	6872	67.5	Skermanella cutis	2775420	Mammals: Human
GCF_016743815.1	4.262007	4159	3825	64.5	Sphingomonas aliaeris	2759526	Food production
GCF_016772315.1	4.077558	4046	3944	51.0	Thiothrix subterranea	2735563	Terrestrial
GCF_016807805.1	6.650762	6379	6013	68.0	Xanthobacter dioxanivorans	2528964	Wastewater
GCF_016925535.1	4.012379	3459	3346	61.5	Natronoglycomyces albus	2811108	Aquatic
GCF_016925615.1	5.699854	5206	5064	70.0	Natronosporangium hydrolyticum	2811111	Aquatic
GCF_017355405.1	4.898652	4589	4492	70.5	Roseomonas haemaphysalidis	2768162	Unclassified
GCF_017498525.1	4.320685	4123	3982	65.5	Ottowia testudinis	2816950	Unclassified
GCF_017569225.1	4.395128	4030	3933	72.5	Pengzhenrongella sicca	2819238	Terrestrial
GCF_018135625.1	5.649484	5167	5091	68.0	Phenylobacterium montanum	2823693	Terrestrial
GCF_018141425.1	5.626074	4859	4757	31.0	Vallitalea guaymasensis	1185412	Aquatic
GCF_018141445.1	6.325483	5308	5203	36.5	Vallitalea pronyensis	1348613	Aquatic
GCF_018223345.1	3.812587	3489	3353	48.0	Shewanella yunxiaonensis	2829809	Aquatic
GCF_018278905.1	5.581157	4550	4365	65.5	Mycobacterium spongiae	886343	Aquatic
GCF_018279705.1	5.857905	5637	5368	62.0	Tardiphaga alba	340268	Terrestrial
GCF_018316795.1	6.602217	5704	5566	72.5	Nocardiopsis akebiae	2831968	Terrestrial
GCF_018388425.1	3.863826	3634	3555	72.0	Nocardioides faecalis	2803858	Mammals
GCF_018437505.1	5.864354	5470	5291	69.5	Spiractinospora alimapuensis	2820884	Aquatic
GCF_018459925.1	4.580814	4494	4356	73.0	Nocardioides aquaticus	160826	Aquatic
GCF_018968705.1	5.870232	5057	4902	58.5	Pseudomonas lijiangensis	2995658	Plants
GCF_019039255.1	4.901775	4954	4642	72.5	Nocardioides panacis	2849501	Terrestrial
GCF_019139535.1	5.527654	4945	4787	65.0	Pseudomonas muyukensis	2842357	Plants
GCF_019139675.1	5.758328	5142	4968	64.0	Pseudomonas maumuensis	2842354	Plants
GCF_019139795.1	6.228218	5668	5455	60.0	Pseudomonas azerbaijanorientalis	2842350	Plants
GCF_019139815.1	6.107031	5618	5444	60.5	Pseudomonas asgharzadehiana	2842349	Plants
GCF_019139835.1	5.987104	5322	5134	64.0	Pseudomonas xanthosomatis	2842356	Plants
GCF_019139895.1	6.14708	5463	5283	64.5	Pseudomonas fakonensis	2842355	Plants
GCF_019141525.1	6.307666	5706	5553	61.0	Pseudomonas alvandae	2842348	Plants
GCF_019263705.2	6.305989	6210	6075	73.5	Pseudonocardia abyssalis	2792008	Aquatic
GCF_019456655.1	5.998503	5756	5630	68.0	Mycolicibacterium diernhoferi	1801	Aquatic
GCF_019891395.1	4.052255	3875	3792	60.0	Nitratireductor kimnyeongensis	430679	Aquatic
GCF_019900845.1	4.913533	3889	3807	44.0	Paraneptunicella aestuarii	2831148	Aquatic
GCF_019930585.1	4.298284	4156	4048	67.0	Sphingomonas nostoxanthinifaciens	2872652	Unclassified
GCF_020883455.1	4.17235	3904	3821	69.5	Sediminicurvatus halobius	2182432	Aquatic
GCF_020991065.1	4.471533	4377	4282	73.0	Nocardioides okcheonensis	2894081	Terrestrial
GCF_021044565.1	4.318731	4016	3920	66.0	Subtercola endophyticus	2895559	Plants
GCF_021049245.1	4.031766	4096	3952	39.0	Radiobacillus kanasensis	2844358	Terrestrial
GCF_021049285.1	4.270413	3858	3786	67.5	Ruania halotolerans	2897773	Terrestrial
GCF_021172065.1	5.01504	4701	4539	54.0	Pseudocitrobacter corydidari	2891570	Unclassified
GCF_021183825.1	5.364211	4359	4272	45.0	Sinomicrobium kalidii	2900738	Plants
GCF_021184025.1	5.632343	5193	5087	62.0	Rhodopseudomonas boonkerdii	475937	Terrestrial
GCF_021216675.1	5.691859	5326	5122	69.0	Streptomyces gobiensis	2875706	Unclassified
GCF_021227995.1	5.698134	5227	5116	66.0	Novosphingobium kaempferiae	2896849	Plants
GCF_021233055.1	7.333475	6130	6051	49.5	Spirosoma oryzicola	2898794	Plants
GCF_021432765.1	3.922746	3766	3651	64.5	Pseudomonas phenolilytica	2746321	Terrestrial
GCF_021560035.1	3.829764	3861	3677	39.5	Virgibacillus salidurans	2831673	Food production
GCF_022059845.1	6.384545	6169	6072	63.5	Terrirubrum flagellatum	2895980	Terrestrial
GCF_022200785.1	4.929029	4163	4085	35.5	Pedobacter mucosus	2895286	Terrestrial
GCF_022267555.1	3.90672	3298	3168	41.5	Proteiniphilum propionicum	2829812	Food production
GCF_022370635.2	6.183573	6073	5909	66.5	Mycolicibacterium crocinum	388459	Terrestrial
GCF_022370835.2	3.936223	3785	3685	70.5	Mycolicibacillus parakoreensis	1069221	Mammals: Human
GCF_022374935.2	4.980142	4677	4567	67.5	Mycolicibacter virginiensis	1795032	Mammals
GCF_022760175.1	4.040482	3405	3324	38.5	Zhouia spongiae	2202721	Aquatic
GCF_022846615.1	5.481269	5265	5184	70.5	Roseomonas fluvialis	1750527	Aquatic
GCF_022870745.1	5.3599	4359	4291	58.5	Silvibacterium acidisoli	2883246	Terrestrial
GCF_023556315.2	4.029301	3550	3495	32.0	Psychroserpens ponticola	2932268	Aquatic
GCF_023923205.1	3.771308	3524	3440	69.0	Ornithinimicrobium cryptoxanthini	2934161	Terrestrial
GCF_023983615.1	4.799068	4193	4104	51.5	Phormidium yuhuli AB48	2940671	Bioreactor
GCF_024112395.2	6.609381	6064	5872	60.5	Pseudomonas pergaminensis	2853159	Plants
GCF_024220175.1	5.138448	5062	4937	73.0	Paraconexibacter antarcticus	2949664	Terrestrial
GCF_025345565.1	4.067951	3660	3583	53.5	Thalassolituus hydrocarboniclasticus	2742796	Aquatic
GCF_025398155.2	6.289366	5191	5057	67.0	Roseateles amylovorans	2978473	Aquatic
GCF_025639805.1	4.812735	3869	3804	42.0	Reichenbachiella carrageenanivorans	2979869	Aquatic
GCF_026191725.2	5.94277	5508	5422	55.0	Roseibium porphyridii	2866279	Algae
GCF_026278245.1	5.05486	4305	4228	52.5	Pontibacter kalidii	2592049	Plants
GCF_026278345.1	5.582807	4703	4625	57.0	Tellurirhabdus rosea	2674997	Terrestrial
GCF_026810445.1	5.73929	5233	4936	58.0	Pseudomonas huanghezhanensis	3002903	Aquatic
GCF_026898135.2	6.311744	5789	5565	62.0	Pseudomonas fortuita	3233375	Plants
GCF_027625475.1	4.429509	4227	4072	66.0	Sphingomonas abietis	3012344	Plants
GCF_027923765.1	3.762062	3539	3445	49.5	Pseudodesulfovibrio nedwellii	2973072	Aquatic
GCF_028607085.1	4.310851	4204	4107	67.5	Sphingomonas naphthae	1813468	Terrestrial
GCF_028735875.1	4.0646	4180	4051	40.0	Shouchella hunanensis	766894	Terrestrial
GCF_028736175.1	5.170823	4238	4142	43.5	Sphingobacterium oryzagri	3025669	Terrestrial
GCF_028747805.1	4.107949	4071	3864	37.0	Solibacillus daqui	2912187	Food production
GCF_029277445.1	6.242368	6109	5937	60.0	Pararhizobium qamdonense	3031126	Terrestrial
GCF_029323795.1	5.066785	4187	4121	38.5	Zobellia alginiliquefaciens	3032586	Algae
GCF_029542625.1	4.161809	4029	3847	29.5	Tepidibacter hydrothermalis	3036126	Aquatic
GCF_030252245.1	4.893483	4128	3990	40.5	Shewanella goraebulensis	3050637	Aquatic
GCF_030254645.1	5.324202	4934	4838	68.5	Paucibacter sediminis	3019553	Aquatic
GCF_030263935.1	4.939088	4705	4473	42.0	Paenibacillus polygoni	3050112	Plants
GCF_030271835.1	4.1056	3742	3607	38.0	Proteus appendicitidis	3034648	Mammals: Human
GCF_030315915.2	3.801551	3499	3370	43.0	Providencia zhijiangensis	3053982	Mammals: Human
GCF_030369675.1	4.398809	4172	4074	61.5	Peteryoungia algae	2919917	Aquatic
GCF_030413595.1	3.955745	3917	3785	46.5	Planococcus liqunii	3058394	Terrestrial
GCF_030549525.1	4.686432	4274	4158	67.5	Stenotrophomonas tuberculopleuritidis	3055079	Mammals: Human
GCF_030845195.1	4.097636	3336	3297	46.0	Sanyastnella coralliicola	3069118	Aquatic
GCF_030863885.1	4.56697	4572	4296	64.0	Paracoccus actinidiae	3064531	Terrestrial
GCF_031583595.1	4.806223	4029	3919	38.0	Thalassotalea psychrophila	3065647	Aquatic
GCF_031599675.1	6.472393	5758	5592	50.5	Paenibacillus pedocola	3242193	Terrestrial
GCF_032191775.1	3.889336	3719	3613	59.5	Rhodoferax mekongensis	3068341	Aquatic
GCF_032268605.1	6.30377	5731	5561	56.0	Paenibacillus aurantius	2918900	Aquatic
GCF_032911225.1	4.900776	4061	3946	39.0	Thalassotalea fonticola	3065649	Aquatic
GCF_033170385.1	5.041847	4296	4187	68.5	Xanthomonas rydalmerensis	3046274	Plants
GCF_033954455.1	5.466623	4949	4785	61.5	Thiorhodovibrio litoralis	2952932	Aquatic
GCF_034259205.1	4.153408	4162	4103	42.5	Peredibacter starrii	28202	Terrestrial
GCF_034661175.1	4.403084	4234	4165	72.5	Nocardioides renjunii	3095075	Mammals
GCF_034661235.1	4.546893	4423	4352	70.5	Nocardioides bizhenqiangii	3095076	Terrestrial
GCF_035621475.1	5.351178	4964	4756	61.5	Pseudomonas paeninsulae	3110772	Aquatic
GCF_035930445.1	3.952559	3715	3649	65.5	Sphingopyxis chilensis	180400	Aquatic
GCF_036670025.1	6.231504	6214	5812	38.5	Niallia oryzisoli	1737571	Terrestrial
GCF_039652435.2	4.362107	3722	3666	44.5	Niabella insulamsoli	3144874	Terrestrial
GCF_040024445.1	5.475811	5094	4958	68.5	Prescottella soli	1543852	Terrestrial
GCF_040105105.1	5.365325	5203	4966	62.0	Polaromonas hydrogenivorans	335476	Terrestrial
GCF_040529045.1	4.80715	4099	4001	69.5	Xanthomonas indica	2912242	Plants
GCF_041428715.1	5.31221	5088	4899	44.5	Sporomusa malonica	112901	Aquatic
