accession	genome_size_mb	genes_total_num	genes_protein_num	gc_percent	organism_taxId	organism_name	environment	gene_density
GCF_035573695.1	3.720236	3688	3579	43.5	3039180	Metallumcola ferriviriculae		991.33
GCF_036323555.1	5.821695	4644	4567	65.5	3081749	Congregicoccus parvus		797.71
GCF_036416795.1	6.440948	5083	4866	43.0	3117552	Bacteroides maternus	Mammals: Human	789.17
GCF_036492635.1	6.171275	5087	4927	37.0	866807	Aureibacter tunicatorum		824.3
GCF_036885605.1	6.313111	5678	5526	62.5	2985511	Janthinobacterium aestuarii		899.4
GCF_037076455.1	4.479191	4189	4084	63.5	3058419	Desulfoferula mesophila		935.21
GCF_038095605.1	4.224903	3661	3588	70.5	3119007	Gaopeijia maritima		866.53
GCF_038098645.1	4.4119	4127	3988	57.5	2961995	Marinobacter metalliresistant	Aquatic	935.42
GCF_038396755.1	6.078843	5194	5036	54.0	3133966	Chitinophaga pollutisoli	Terrestrial	854.44
GCF_038449125.1	4.786838	4484	4326	54.0	3139408	Kosakonia calanthes		936.74
GCF_039134705.1	4.723253	4468	4356	43.0	3123317	Kineothrix sedimenti		945.96
GCF_039565995.1	3.986877	3865	3750	67.5	3138240	Ammonicoccus fulvus		969.43
GCF_039719005.1	3.827159	3670	3503	48.5	3073143	Bengtsoniella intestinalis		958.94
GCF_039905635.1	4.373776	3913	3845	70.5	3153754	Microbacterium chionoecetis		894.65
GCF_039993895.1	4.038441	3407	3332	57.5	3035702	Edaphobacter paludis		843.64
GCF_040365225.1	3.758787	2983	2843	39.5	2136147	Bacteroides sedimenti		793.61
GCF_040703125.1	4.249485	3499	3396	34.0	1928857	Flavobacterium ovatum		823.39
GCF_040732315.1	3.842277	3603	3505	67.5	3228789	Alicycliphilus soli		937.73
GCF_040833995.1	4.092442	3802	3744	42.0	3235173	Leptospira cinconiae		929.03
GCF_041222825.1	4.376545	3959	3855	53.5	3100113	Candidatus Thalassolituus haligoni		904.59
GCF_041320275.1	4.649352	4432	4362	70.5	3234852	Mumia qirimensis		953.25
GCF_041320605.1	4.694007	3866	3781	39.0	2040469	Arenibacter antarcticus	Aquatic	823.6
GCF_041893865.1	4.127134	4132	4044	68.0	74326	Brevundimonas staleyi		1001.18
GCF_041902845.1	4.194502	3581	3483	44.5	3229863	Limibacterium fermenti		853.74
GCF_041937165.1	5.117812	5024	4790	53.0	3142537	Enterobacter adelaidei		981.67
GCF_042134605.1	3.722406	3362	3299	41.5	3177515	Flagellimonas alginolytica		903.18
GCF_042847045.1	5.583543	4955	4859	69.0	3230736	Acidovorax sacchari		887.43
GCF_042847215.1	4.195725	3573	3499	52.5	1796469	Gilvimarinus japonicus		851.58
GCF_042850945.1	5.942233	5064	4955	50.5	1306992	Halioxenophilus aromaticivorans	Aquatic	852.2
GCF_042854845.1	5.859353	5148	5073	49.0	1008307	Maricurvus nonylphenolicus		878.6
GCF_043587585.2	4.815779	4603	4165	64.0	69963	Azorhizophilus paspali	Terrestrial	955.82
GCF_043633585.1	3.753647	3543	3403	44.0	3111456	Lacrimispora sinapis		943.88
GCF_044772865.1	3.877416	3764	3705	55.0	3377108	Algirhabdus cladophorae		970.75
GCF_045277565.1	5.0839	4708	4598	58.0	1524259	Aliisedimentitalea scapharcae		926.06
GCF_045689225.1	4.311716	3988	3825	61.0	3080828	Methylocapsa polymorpha		924.92
GCF_045689235.1	3.931143	3529	3469	55.0	3081200	Congregibacter variabilis	Aquatic	897.7
GCF_045689245.1	3.866995	3461	3395	54.0	3081201	Congregibacter brevis	Aquatic	895.01
GCF_045862395.1	4.648065	3991	3896	36.0	2724896	Marinicellulosiphila megalodicopiae		858.64
GCF_047456275.1	4.094424	3822	3706	42.5	52690	Acetobacterium carbinolicum	Aquatic	933.46
GCF_049665575.1	4.784854	4484	4004	61.0	3415010	Aeromonas oralensis		937.12
GCF_049860565.1	4.2598	4153	4003	41.5	3375356	Desulfitobacterium nosdiversum	Terrestrial	974.93
GCF_050410795.1	5.538121	4489	4382	64.0	2989684	Fontivita pretiosa		810.56
GCF_900095885.1	4.50156	4096	3884	53.5	1401087	Dickeya aquatica		909.91
GCF_900130075.1	3.784322	3585	3512	51.5	1809410	Herminiimonas arsenitoxidans	Terrestrial	947.33
GCF_900187095.1	3.735697	3435	3341	39.0	66969	Legionella waltersii	Aquatic	919.51
GCF_900231165.1	5.449775	5066	4956	64.0	1482074	Hartmannibacter diazotrophicus		929.58
GCF_900289045.1	3.844677	3701	3586	68.5	75385	Micropruina glycogenica		962.63
GCF_900292015.1	5.60763	4815	4613	65.0	2094119	Mycobacterium basiliense	Mammals: Human	858.65
GCF_900465055.1	4.433651	4152	3886	41.0	69539	Moritella yayanosii		936.47
GCF_900478135.1	3.976274	3643	3440	52.0	158841	Leminorella richardii		916.18
GCF_900637665.1	5.602501	5152	4996	35.5	1241982	Chryseobacterium nakagawai	Mammals: Human	919.59
GCF_902813185.1	4.293412	4005	3885	62.0	311182	Denitratisoma oestradiolicum	Wastewater	932.82
GCF_940670685.1	3.75733	3197	3088	38.5	2934315	Anaeropeptidivorans aminofermentans		850.87
GCF_963378075.1	4.341397	3999	3908	68.5	3064287	[Mycobacterium] kokjensenii	Mammals: Human	921.13
GCF_963378085.1	5.224726	4974	4842	68.5	3064284	[Mycobacterium] wendilense	Mammals: Human	952.01
GCF_963378095.1	5.453374	5194	5072	67.5	3064286	[Mycobacterium] burgundiense	Mammals: Human	952.44
GCF_963378105.1	4.794172	4442	4337	67.5	3064288	[Mycobacterium] holstebronense	Mammals: Human	926.54
GCF_000214155.1	4.643668	4433	4313	68.5	875328	Mycolicibacter sinensis	Mammals: Human	954.63
GCF_000317065.1	4.88568	3989	3891	46.0	82654	Thalassoporum mexicanum PCC 7367		816.47
GCF_000612505.1	5.270569	4955	4783	52.5	1268072	Paenibacillus sabinae T27	Plants	940.13
GCF_000746025.2	3.805411	3899	3751	45.0	1712410	Thermanaerosceptrum fracticalcis	Terrestrial	1024.59
GCF_000758685.1	5.658798	5321	5079	53.5	169760	Paenibacillus stellifer	Food production	940.31
GCF_000761155.1	4.688635	4242	4092	62.0	216142	Pseudomonas rhizosphaerae		904.74
GCF_000769405.2	7.118658	6880	6662	61.0	3019932	Rhizobium brockwellii	Plants	966.47
GCF_000803645.1	5.202172	4968	4863	64.0	1515612	Sphingopyxis fribergensis	Terrestrial	954.99
GCF_000807775.2	5.592065	4953	4826	63.0	1891094	Pandoraea fibrosis	Mammals: Human	885.72
GCF_000815105.2	5.867621	5112	4940	64.5	93221	Pandoraea pulmonicola		871.22
GCF_000828635.1	3.802648	3679	3586	63.5	1223802	Sulfuritalea hydrogenivorans sk43H	Aquatic	967.48
GCF_000934605.2	5.736282	4994	4833	63.5	656178	Pandoraea vervacti	Terrestrial	870.6
GCF_000935025.1	5.228389	4908	4784	66.5	1609977	Sphingomonas hengshuiensis		938.72
GCF_000948975.2	7.494638	6425	6237	47.5	485447	Thalassomonas actiniarum		857.28
GCF_000948985.2	7.945408	6866	6652	49.0	137584	Thalassomonas viridans	Mollusca	864.15
GCF_000961095.1	5.749967	5273	5032	52.5	1126833	Paenibacillus beijingensis	Terrestrial	917.05
GCF_000967425.1	4.577425	4485	4351	62.0	1125847	Pseudorhizobium banfieldiae		979.81
GCF_001007875.1	3.962284	3707	3631	57.5	1543721	Sedimenticola thiotaurini		935.57
GCF_001051995.2	4.171754	3940	3831	66.5	1134435	Thauera humireducens		944.45
GCF_001078055.1	4.820793	3903	3844	51.5	1379910	Rufibacter radiotolerans	Terrestrial	809.62
GCF_001263175.1	4.350553	3727	3613	69.0	1391653	Vulgatibacter incomptus	Terrestrial	856.67
GCF_001294575.1	5.149788	4722	4504	58.0	1788301	Pseudomonas versuta	Terrestrial	916.93
GCF_001310085.1	5.413467	4408	4327	47.5	512763	Rufibacter tibetensis		814.27
GCF_001310225.1	3.99477	3371	3308	32.0	1736674	Pseudalgibacter alginicilyticus		843.85
GCF_001443605.1	4.812386	3847	3749	39.0	1307839	Salinivirga cyanobacteriivorans	Aquatic	799.4
GCF_001586255.1	4.204359	3774	3701	50.5	1470434	Zhongshania aliphaticivorans	Unclassified	897.64
GCF_001644605.1	5.012599	4573	4420	49.0	1178515	Paenibacillus swuensis	Terrestrial	912.3
GCF_001654455.1	5.627734	4664	4591	44.5	1176587	Niabella ginsenosidivorans	Solid waste	828.75
GCF_001677435.1	4.059891	3627	3544	58.0	1548547	Woeseia oceani		893.37
GCF_001685395.1	4.985901	4590	4370	51.0	1462996	Paenibacillus yonginensis	Lab enrichment	920.6
GCF_001831495.1	3.86167	3367	3262	39.0	1763536	Thalassotalea crassostreae		871.9
GCF_001857945.1	4.757181	4525	4324	40.0	1763538	Paenibacillus crassostreae		951.19
GCF_001886735.1	4.69101	4599	4479	64.5	1917485	Sulfitobacter alexandrii	Protists	980.39
GCF_001955695.1	5.895641	5525	5392	66.0	1842727	Rhodoferax koreensis		937.13
GCF_001975705.1	5.259072	5154	5037	65.5	1250539	Salipiger abyssi	Aquatic	980.02
GCF_001997345.1	3.934699	3720	3506	69.0	1332264	Tessaracoccus aquimaris	Fish	945.43
GCF_002067135.1	5.828404	4775	4699	54.5	564064	Spirosoma rigui		819.26
GCF_002085925.2	4.395474	4225	4082	64.0	1549850	Thioclava electrotropha	Aquatic	961.22
GCF_002117105.1	4.472079	4077	3957	47.5	716816	Oceanicoccus sagamiensis	Aquatic	911.66
GCF_002162355.1	5.249768	4860	4484	56.0	1903704	Tumebacillus avium	Birds	925.76
GCF_002216775.1	4.071214	4010	3851	39.5	2017483	Virgibacillus phasianinus	Microbial	984.96
GCF_002224365.1	4.337422	4207	4054	37.5	163877	Virgibacillus necropolis	Built environment	969.93
GCF_002243515.1	4.516965	4156	3842	53.0	1214604	Tumebacillus algifaecis	Aquatic	920.09
GCF_002277955.1	4.810751	3425	3358	57.5	1331910	Thermogutta terrifontis	Aquatic	711.95
GCF_002355415.1	3.958814	3917	3832	67.5	1675686	Sulfurifustis variabilis		989.44
GCF_002741055.1	6.593819	5927	5763	52.0	1870820	Paenibacillus ihbetae		898.87
GCF_002764115.1	6.208009	6138	5830	57.0	1867719	Phyllobacterium zundukense	Plants	988.72
GCF_002796605.1	5.038478	4665	4535	65.5	1327635	Sphingomonas psychrotolerans		925.87
GCF_002844375.1	5.438289	4765	4662	54.5	2048283	Thalassospira marina		876.19
GCF_002847305.1	3.954736	3940	3831	62.0	1529068	Paracoccus tegillarcae		996.27
GCF_002893765.1	4.116543	3634	3495	35.0	2069432	Pseudotamlana carrageenivorans	Aquatic	882.78
GCF_002951615.1	5.530672	5093	4856	52.5	1805933	Rahnella sikkimica	Terrestrial	920.86
GCF_003008515.1	4.494445	4368	4280	69.5	1868589	Phreatobacter cathodiphilus	Microbial	971.87
GCF_003008535.1	3.901011	3606	3503	67.0	2109914	Ottowia oryzae	Food production	924.38
GCF_003008595.1	4.154448	3918	3765	63.5	2109915	Simplicispira suum	Air	943.09
GCF_003028855.1	6.337491	5645	5394	66.5	2072590	Pseudoduganella armeniaca	Terrestrial	890.73
GCF_003058465.1	4.227194	3805	3571	55.5	2163011	Orrella marina	Unclassified	900.12
GCF_003063625.1	5.871129	4452	4338	41.5	2172099	Saccharobesus litoralis		758.29
GCF_003130705.1	8.014224	7532	7084	65.5	1990687	Rhodococcus oxybenzonivorans	Aquatic	939.83
GCF_003268595.1	3.728451	3679	3525	35.0	2213194	Paraliobacillus zengyii	Mammals	986.74
GCF_003351765.1	3.918911	3647	3540	72.5	2283195	Ornithinimicrobium avium	Birds	930.62
GCF_003352005.1	4.103611	4035	3832	37.0	2052660	Oceanobacillus zhaokaii	Mammals	983.28
GCF_003382565.3	4.464425	4155	3907	51.0	2204145	Pectobacterium aquaticum	Aquatic	930.69
GCF_003403095.1	4.701725	4377	4280	55.0	1891279	Thalassospira indica	Aquatic	930.93
GCF_003429285.1	4.440293	3866	3735	48.0	2303538	Salinimonas sediminis	Aquatic	870.66
GCF_003595175.1	4.949615	4539	4348	64.5	2320867	Pseudomonas cavernae	Aquatic	917.04
GCF_003627755.1	8.025568	7572	7202	59.5	1312183	Rhizobium jaguaris	Plants	943.48
GCF_003710085.1	4.041717	3901	3809	73.0	2483798	Nocardioides pantholopis	Mammals	965.18
GCF_003855395.1	4.839879	4234	4045	41.0	150120	Shewanella livingstonensis		874.82
GCF_003931855.1	5.288676	4750	4520	46.5	1338368	Paenibacillus lentus	Terrestrial	898.15
GCF_003935895.2	4.713964	4553	4366	54.5	1851514	Scandinavium goeteborgense	Plants	965.85
GCF_003940805.1	4.387422	4299	4197	64.0	2494374	Tabrizicola piscis	Fish	979.85
GCF_003940825.1	6.049604	5566	5352	64.0	2894079	Pseudomonas oryziphila	Terrestrial	920.06
GCF_003952225.1	6.632345	6083	5885	51.0	2495582	Paenibacillus albus	Terrestrial	917.17
GCF_003955735.1	4.910324	4308	4194	50.0	401471	Undibacterium parvum	Aquatic	877.34
GCF_003990335.1	4.628354	4142	4025	46.5	2498451	Rheinheimera mangrovi	Aquatic	894.92
GCF_003991425.1	6.497679	5874	5644	46.5	2707005	Paenibacillus lutimineralis	Terrestrial	904.02
GCF_004006175.1	5.080916	4951	4721	56.0	2483033	Parasedimentitalea marina	Aquatic	974.43
GCF_004124235.1	4.803435	4438	4251	48.0	2339259	Yersinia hibernica	Mammals	923.92
GCF_004135345.1	3.848642	3589	3297	72.5	2509459	Xylanimonas allomyrinae	Arthropoda: Insects	932.54
GCF_004135365.1	4.228822	4005	3743	51.5	2509456	Paenibacillus protaetiae	Arthropoda: Insects	947.07
GCF_004135385.1	3.85998	3621	3468	73.5	2509457	Xylanimonas protaetiae	Arthropoda: Insects	938.09
GCF_004135975.1	4.688868	4221	4113	64.5	296842	Solidesulfovibrio carbinolicus	Food production	900.22
GCF_004168365.1	4.728975	4081	3974	58.5	2511995	Pseudolysobacter antarcticus	Terrestrial	862.98
GCF_004214895.1	5.685196	5247	5059	62.0	2518644	Pseudomonas tructae	Fish	922.92
GCF_004295345.1	4.718011	4057	3829	44.5	2520507	Shewanella maritima	Aquatic	859.9
GCF_004322775.1	4.169359	3836	3734	71.5	2508882	Ornithinimicrobium sufpigmenti	Mammals	920.05
GCF_004323735.1	5.81419	5076	4957	72.0	2498135	Streptomonospora litoralis	Aquatic	873.04
GCF_004337365.2	4.701441	4113	4026	34.0	2545455	Rhizosphaericola mali	Plants	874.84
GCF_004347775.1	4.80451	4008	3938	49.5	2502779	Pseudocnuella soli	Terrestrial	834.22
GCF_004358445.1	4.222191	3766	3608	41.0	2547970	Parashewanella tropica	Porifera	891.95
GCF_004367585.1	3.972524	3816	3671	37.0	417367	Paenisporosarcina antarctica		960.6
GCF_004421005.1	5.887622	5283	5043	65.0	321984	Pseudoduganella plicata		897.31
GCF_004421105.1	4.02264	3879	3733	50.5	1814290	Nitrosococcus wardiae	Aquatic	964.29
GCF_004564375.1	4.017744	3973	3902	72.0	2518370	Nocardioides euryhalodurans	Terrestrial	988.86
GCF_004683965.1	3.974362	3918	3831	70.5	2518371	Nocardioides seonyuensis	Terrestrial	985.82
GCF_004924335.1	4.776697	4680	4555	64.5	404941	Mycobacteroides salmoniphilum	Fish	979.76
GCF_005222225.1	4.12353	3692	3564	50.0	914153	Salinimonas lutimaris		895.35
GCF_005280735.1	8.576517	7827	7544	63.0	2571746	Trinickia violacea	Terrestrial	912.61
GCF_005473905.2	4.817678	3868	3735	33.0	2488810	Ruminiclostridium herbifermentans	Bioreactor	802.88
GCF_005577435.1	4.475055	4208	4028	51.0	2565926	Paenibacillus algicola	Plants	940.32
GCF_005862305.2	7.533049	7310	7053	61.0	2583231	Rhizobium indicum	Plants	970.39
GCF_005887635.2	5.468583	4865	4734	70.0	2579971	Paroceanicella profunda	Aquatic	889.63
GCF_006228385.1	4.159483	3804	3688	47.5	2572577	Salinimonas iocasae	Aquatic	914.54
GCF_006494775.1	6.220618	6256	5930	72.5	449461	Nocardioides humi		1005.69
GCF_006494815.1	4.434294	4366	4092	71.5	2589074	Nocardioides sambongensis	Terrestrial	984.6
GCF_006542275.1	5.619468	4759	4621	58.5	2583377	Saccharibacillus brassicae	Mammals: Human	846.88
GCF_006738645.1	5.83265	5550	5455	70.0	94	Stella humosa	Terrestrial	951.54
GCF_006740705.1	3.754174	3831	3621	46.0	2502791	Salicibibacter halophilus		1020.46
GCF_006965545.2	4.040495	4016	3900	43.0	2592382	Paenalkalicoccus suaedae	Unclassified	993.94
GCF_006970865.1	4.387497	4256	4112	64.5	2509614	Rhodoferax sediminis	Aquatic	970.03
GCF_006974105.1	4.73769	4404	4289	57.5	2527691	Rhodoferax aquaticus	Aquatic	929.57
GCF_007004545.3	5.85132	5052	4836	43.5	2593656	Shewanella eurypsychrophilus	Aquatic	863.39
GCF_007197555.1	6.449204	5781	5276	45.0	2593655	Shewanella psychropiezotolerans	Aquatic	896.39
GCF_007197575.1	4.092907	3813	3720	69.0	2594265	Ornithinimicrobium ciconiae	Mammals	931.61
GCF_007559025.1	4.01325	3682	3586	71.0	2597660	Tomitella fengzijianii	Mammals	917.46
GCF_007567505.1	4.912773	4184	4020	40.0	238836	Shewanella donghaensis		851.66
GCF_007641255.1	5.316008	5000	4818	49.0	2377	Sporomusa termitida	Arthropoda: Insects	940.56
GCF_007747445.1	4.291168	3538	3471	48.5	2528020	Poriferisphaera corsica		824.48
GCF_007750395.1	6.12548	4534	4449	50.5	2528007	Polystyrenella longa		740.19
GCF_007750655.1	4.954743	3749	3679	70.5	2528008	Rohdeia mirabilis		756.65
GCF_007750855.1	6.618662	5210	5107	66.5	2528009	Pirellulimonas nuda		787.17
GCF_007752345.1	5.214061	3924	3828	54.0	2528019	Planctopirus ephydatiae		752.58
GCF_007833215.1	4.154291	3982	3890	65.5	2599297	Sphingomonas suaedae	Terrestrial	958.53
GCF_007922615.2	4.855325	4755	4668	65.0	2599600	Nitratireductor mangrovi	Terrestrial	979.34
GCF_007971225.1	5.528026	4700	4638	38.0	1813871	Panacibacter ginsenosidivorans	Plants	850.21
GCF_008000755.1	4.430734	4389	4299	65.0	1447062	Paradevosia tibetensis		990.58
GCF_008001235.1	3.886744	3674	3566	60.5	2583823	Salidesulfovibrio onnuriiensis		945.26
GCF_008195825.1	3.854044	3498	3344	35.0	2605747	Pedobacter aquae		907.62
GCF_008329965.1	4.012482	3652	3554	43.0	2518645	Oceanispirochaeta crateris	Aquatic	910.16
GCF_008727715.1	6.02479	5794	5671	63.0	2725666	Terribium terrae	Terrestrial	961.69
GCF_008727795.1	4.172991	3889	3788	50.0	2614693	Nitrincola iocasae	Aquatic	931.95
GCF_008761635.1	3.998545	3927	3845	71.5	2558918	Nocardioides cynanchi	Terrestrial	982.11
GCF_008843145.1	5.869433	5525	5315	67.5	2233999	Skermanella pratensis		941.32
GCF_008973485.1	4.351338	4206	4019	36.0	2283160	Psychrobacillus glaciei	Terrestrial	966.6
GCF_009557615.1	4.322926	3673	3576	39.0	2662364	Sphingobacterium zhuxiongii	Mammals	849.66
GCF_009708215.1	5.648255	5228	5134	71.0	2675754	Occultella kanbiaonis	Mammals	925.6
GCF_009740285.1	4.372196	4039	3919	46.5	2676868	Phnomibacter ginsenosidimutans	Aquatic	923.79
GCF_009762325.1	3.93477	3854	3795	62.5	2494550	Roseovarius faecimaris	Terrestrial	979.47
GCF_009762795.1	3.90995	3606	3527	60.0	2678688	Pseudodesulfovibrio cashew	Unclassified	922.26
GCF_009792295.1	3.766904	3357	3218	36.5	2572594	Myroides fluvii	Aquatic	891.18
GCF_009792355.1	3.864763	3969	3900	63.5	2686094	Terricaulis silvestris	Terrestrial	1026.97
GCF_009817885.1	5.098052	4772	4551	58.0	2597702	Serratia rhizosphaerae	Plants	936.04
GCF_009831415.1	4.710154	4307	4118	47.0	2607663	Yersinia canariae	Mammals: Human	914.41
GCF_009905215.1	3.882676	3185	3104	53.0	2697043	Tichowtungia aerotolerans	Aquatic	820.31
GCF_009906855.1	5.8734	5492	5311	68.5	2697032	Xylophilus rhododendri	Plants	935.06
GCF_009913235.1	4.352178	3686	3625	50.5	2698458	Nibribacter ruber	Terrestrial	846.93
GCF_009931655.1	4.965849	4151	4051	54.5	2694929	Pontibacter russatus	Terrestrial	835.91
GCF_010092985.1	4.344619	3781	3687	45.5	2694930	Pontibacter pudoricolor	Terrestrial	870.27
GCF_010119935.1	6.74331	5939	5755	58.0	2704462	Paenibacillus lycopersici	Plants	880.72
GCF_010725725.1	5.484749	5380	5256	67.5	36813	Mycolicibacterium pulveris	Unclassified	980.9
GCF_010725885.1	6.328149	6130	6014	68.0	39695	Mycolicibacterium tokaiense	Terrestrial	968.69
GCF_010726245.1	5.925482	5733	5627	66.5	1799	Mycolicibacterium aichiense	Terrestrial	967.52
GCF_010726645.1	5.657388	5435	5281	68.5	39688	Mycolicibacterium duvalii		960.69
GCF_010726955.1	4.156821	4021	3869	70.5	1793	Mycolicibacterium fallax	Aquatic	967.33
GCF_010727325.1	6.016846	5861	5656	66.0	67081	Mycolicibacterium alvei		974.1
GCF_010728155.1	4.029398	4002	3759	67.5	126673	Mycolicibacterium doricum	Mammals: Human	993.2
GCF_010728325.1	5.929171	5657	5450	68.0	39694	Mycolicibacterium poriferae	Porifera	954.1
GCF_010728525.1	5.973149	5662	4687	65.5	133549	Mycobacterium shottsii	Fish	947.91
GCF_010729305.1	5.732362	5571	5392	68.5	216929	Mycolicibacterium psychrotolerans	Terrestrial	971.85
GCF_010729485.1	4.396654	4125	3992	68.5	29314	Mycolicibacter hiberniae	Plants	938.21
GCF_010729665.1	5.940375	5668	5511	69.0	212765	Mycolicibacterium madagascariense	Plants	954.15
GCF_010729895.1	5.876557	5564	5442	67.5	28047	Mycolicibacterium confluentis	Mammals: Human	946.81
GCF_010730055.1	4.50402	4127	3764	68.0	398694	Mycobacterium shinjukuense		916.29
GCF_010730955.1	6.321928	6186	5936	66.5	319707	Mycolicibacterium aubagnense		978.5
GCF_010731115.1	5.853197	5689	5481	67.0	319706	Mycolicibacterium phocaicum		971.95
GCF_010731295.1	6.585921	6355	6249	67.0	146017	Mycolicibacterium boenickei		964.94
GCF_010731595.1	5.5313	5198	5035	68.5	386911	Mycobacterium seoulense	Mammals: Human	939.74
GCF_010731615.1	4.577045	4331	4195	69.0	444597	Mycolicibacterium insubricum	Mammals: Human	946.24
GCF_010731715.1	6.210822	5967	5403	66.0	470076	Mycobacterium stomatepiae	Fish	960.74
GCF_010731755.1	4.224047	3912	3793	67.0	1118379	Mycolicibacter minnesotensis		926.13
GCF_010731795.1	5.024249	4879	4711	67.0	1249101	Mycolicibacterium celeriflavum		971.09
GCF_010731815.2	6.45121	6158	6009	68.5	1286181	Mycolicibacterium arabiense		954.55
GCF_010731835.1	4.155701	4135	3935	69.5	1069220	Mycolicibacillus koreensis		995.02
GCF_010731855.1	5.696751	5431	5317	67.0	1431246	Mycolicibacterium anyangense		953.35
GCF_010731875.1	4.828255	4858	4393	66.0	1534348	Mycolicibacterium sarraceniae		1006.16
GCF_010731895.1	6.400811	6088	5944	66.0	1534349	Mycolicibacterium helvum		951.13
GCF_011009015.1	6.68709	6166	6005	40.0	2683272	Spartinivicinus ruber	Aquatic	922.08
GCF_011044255.1	4.327794	4049	3984	65.5	2711156	Rhizorhabdus phycosphaerae	Microbial	935.58
GCF_011046535.1	5.120341	5170	5040	73.5	2712223	Nocardioides anomalus	Terrestrial	1009.7
GCF_011057975.1	3.859475	3845	3772	64.5	2711215	Stakelama tenebrarum	Aquatic	996.25
GCF_011300215.1	3.784668	3823	3669	69.5	2714938	Nocardioides piscis	Fish	1010.13
GCF_011420305.2	4.264922	4108	4030	72.5	2685869	Nocardioides ochotonae	Mammals	963.21
GCF_011492945.1	4.5841	4660	4509	67.0	2653851	Rubrobacter tropicus	Aquatic	1016.56
GCF_011492965.1	4.420351	4651	4324	69.0	2653852	Rubrobacter marinus	Aquatic	1052.18
GCF_011764585.1	3.826324	3761	3689	60.0	2715678	Sulfurimicrobium lacus		982.93
GCF_012584515.1	3.837686	3521	3385	52.0	37448	Polaromonas vacuolata	Aquatic	917.48
GCF_012676905.1	5.168992	4622	4465	63.5	2726185	Paenibacillus albicereus		894.18
GCF_012849055.1	6.049537	5224	5026	55.0	2728024	Spirosoma rhododendri	Plants	863.54
GCF_012932215.1	3.962631	3840	3777	60.5	1891787	Roseobacter ponti	Aquatic	969.05
GCF_013003965.1	4.563145	4356	4293	67.0	2732067	Usitatibacter rugosus	Terrestrial	954.6
GCF_013003985.1	3.958808	3862	3798	66.0	2732487	Usitatibacter palustris	Terrestrial	975.55
GCF_013127955.1	5.719932	4798	4725	52.5	2735870	Spirosoma taeanense		838.82
GCF_013177455.1	4.391338	4187	4112	73.5	2663857	Nocardioides marmotae	Mammals	953.47
GCF_013285385.1	4.705628	4549	4376	52.0	2740817	Paramixta manurensis	Solid waste	966.71
GCF_013358405.1	3.998539	3892	3809	63.5	2742145	Oricola thermophila		973.36
GCF_013374995.1	6.401699	5831	5619	63.0	2599595	Pseudomonas eucalypticola	Plants	910.85
GCF_013394595.1	4.512651	3912	3843	34.5	2686077	Winogradskyella forsetii	Aquatic	866.9
GCF_013394655.1	4.560973	3968	3901	34.5	2686078	Winogradskyella schleiferi	Aquatic	869.99
GCF_013466985.1	4.624782	4974	4517	71.5	1643322	Nocardioides ungokensis	Aquatic	1075.51
GCF_014126825.1	4.353844	4091	3904	71.0	2760083	Tomitella gaofuii	Mammals	939.63
GCF_014217335.1	4.89308	4423	4341	45.5	2731756	Teredinibacter purpureus	Mollusca	903.93
GCF_014235185.1	6.490139	6384	6255	74.0	37331	Pseudonocardia petroleophila	Terrestrial	983.65
GCF_014268275.3	6.240195	5802	5621	60.0	2745518	Pseudomonas tritici	Plants	929.78
GCF_014268445.2	6.621778	5945	5799	59.0	2745511	Pseudomonas tensinigenes	Plants	897.8
GCF_014268485.2	6.630739	5900	5726	59.0	2745510	Pseudomonas zeae	Plants	889.8
GCF_014268595.2	6.045338	5365	5221	60.0	2745504	Pseudomonas hamedanensis	Plants	887.46
GCF_014268885.2	5.607668	5027	4860	64.0	2745490	Pseudomonas xantholysinigenes	Plants	896.45
GCF_014269225.2	5.393636	4967	4797	63.5	485870	Pseudomonas anuradhapurensis	Plants	920.9
GCF_014287515.2	3.959994	3643	3488	41.5	2763062	Roseburia rectibacter	Mammals: Human	919.95
GCF_014337215.1	3.949724	3673	3552	49.5	2763667	Wansuia hejianensis	Mammals: Human	929.94
GCF_014489595.1	4.67999	4544	3910	68.5	1926868	Paenacidovorax monticola	Terrestrial	970.94
GCF_014692875.1	5.825361	4971	4819	38.5	2766984	Pedobacter riviphilus	Aquatic	853.34
GCF_014764365.1	4.20801	4143	4006	71.0	2771361	Roseococcus microcysteis	Microbial	984.55
GCF_014863585.1	6.563527	5919	5761	60.5	2774461	Pseudomonas gozinkensis	Terrestrial	901.8
GCF_014863605.1	6.565027	6094	5931	60.5	2774460	Pseudomonas allokribbensis	Terrestrial	928.25
GCF_014899185.1	4.365781	4150	4030	63.5	2613965	Pseudooceanicola spongiae	Tunicates	950.57
GCF_014946775.2	4.469125	4099	3856	51.5	2774015	Pectobacterium quasiaquaticum	Aquatic	917.18
GCF_014960965.1	4.448695	3953	3883	68.0	2779775	Ruania alkalisoli	Terrestrial	888.58
GCF_015500095.1	5.631885	4904	4822	52.0	2710758	Phototrophicus methaneseepsis	Aquatic	870.76
GCF_015644725.1	3.765169	3473	3120	49.5	2785918	Salinimonas marina	Aquatic	922.4
GCF_015679185.1	5.42607	4468	4393	41.5	2789740	Pedobacter endophyticus	Plants	823.43
GCF_015679265.1	4.199362	4203	4121	67.0	2789856	Pontivivens ytuae	Aquatic	1000.87
